template_idx,option_a,option_b,score_a,score_b
0,red,blue,-1.650390625,-0.213134765625
0,red,green,-2.072265625,-0.1346435546875
0,red,yellow,-1.61328125,-0.2222900390625
0,red,purple,-1.8046875,-0.1798095703125
0,blue,red,-1.3359375,-0.304931640625
0,blue,green,-2.16796875,-0.1214599609375
0,blue,yellow,-1.5263671875,-0.2451171875
0,blue,purple,-1.8173828125,-0.17724609375
0,green,red,-0.87060546875,-0.54248046875
0,green,blue,-1.3134765625,-0.313232421875
0,green,yellow,-0.96435546875,-0.47998046875
0,green,purple,-1.267578125,-0.33056640625
0,yellow,red,-1.5380859375,-0.24169921875
0,yellow,blue,-2.099609375,-0.1307373046875
0,yellow,green,-2.55078125,-0.081298828125
0,yellow,purple,-2.0859375,-0.1326904296875
0,purple,red,-1.3017578125,-0.3173828125
0,purple,blue,-1.7529296875,-0.1903076171875
0,purple,green,-2.0859375,-0.1326904296875
0,purple,yellow,-1.587890625,-0.2286376953125
1,red,blue,-1.1689453125,-0.3720703125
1,red,green,-1.3251953125,-0.30908203125
1,red,yellow,-1.1474609375,-0.3818359375
1,red,purple,-1.279296875,-0.326171875
1,blue,red,-1.0439453125,-0.43408203125
1,blue,green,-1.3134765625,-0.313232421875
1,blue,yellow,-1.07421875,-0.41796875
1,blue,purple,-1.2451171875,-0.33935546875
1,green,red,-0.73291015625,-0.65478515625
1,green,blue,-0.9072265625,-0.5166015625
1,green,yellow,-0.79150390625,-0.60400390625
1,green,purple,-0.935546875,-0.498046875
1,yellow,red,-1.201171875,-0.357666015625
1,yellow,blue,-1.3359375,-0.304931640625
1,yellow,green,-1.490234375,-0.25537109375
1,yellow,purple,-1.39453125,-0.284912109375
1,purple,red,-1.033203125,-0.439697265625
1,purple,blue,-1.158203125,-0.376953125
1,purple,green,-1.2451171875,-0.33935546875
1,purple,yellow,-1.0634765625,-0.42333984375
2,red,blue,-1.279296875,-0.326171875
2,red,green,-1.6005859375,-0.2254638671875
2,red,yellow,-1.2568359375,-0.3349609375
2,red,purple,-1.4775390625,-0.259033203125
2,blue,red,-1.13671875,-0.386962890625
2,blue,green,-1.7783203125,-0.1849365234375
2,blue,yellow,-1.279296875,-0.326171875
2,blue,purple,-1.55078125,-0.2384033203125
2,green,red,-0.72509765625,-0.66259765625
2,green,blue,-1.07421875,-0.41796875
2,green,yellow,-0.7578125,-0.6328125
2,green,purple,-1.0634765625,-0.42333984375
2,yellow,red,-1.3134765625,-0.313232421875
2,yellow,blue,-1.67578125,-0.2071533203125
2,yellow,green,-2.044921875,-0.1385498046875
2,yellow,purple,-1.740234375,-0.1929931640625
2,purple,red,-1.13671875,-0.386962890625
2,purple,blue,-1.44140625,-0.269775390625
2,purple,green,-1.6376953125,-0.2161865234375
2,purple,yellow,-1.279296875,-0.326171875
3,red,blue,-1.8310546875,-0.1746826171875
3,red,green,-2.322265625,-0.10321044921875
3,red,yellow,-1.7529296875,-0.1903076171875
3,red,purple,-2.05859375,-0.1365966796875
3,blue,red,-1.41796875,-0.27734375
3,blue,green,-2.421875,-0.093017578125
3,blue,yellow,-1.6630859375,-0.210205078125
3,blue,purple,-2.072265625,-0.1346435546875
3,green,red,-0.8525390625,-0.5556640625
3,green,blue,-1.34765625,-0.301025390625
3,green,yellow,-0.99365234375,-0.46240234375
3,green,purple,-1.34765625,-0.30078125
3,yellow,red,-1.6630859375,-0.210205078125
3,yellow,blue,-2.322265625,-0.103271484375
3,yellow,green,-2.841796875,-0.06011962890625
3,yellow,purple,-2.37890625,-0.0972900390625
3,purple,red,-1.37109375,-0.29296875
3,purple,blue,-1.9638671875,-0.1512451171875
3,purple,green,-2.365234375,-0.0987548828125
3,purple,yellow,-1.7529296875,-0.1903076171875
4,red,blue,-1.00390625,-0.456787109375
4,red,green,-1.3134765625,-0.313232421875
4,red,yellow,-1.0234375,-0.4453125
4,red,purple,-1.158203125,-0.376953125
4,blue,red,-0.8349609375,-0.5693359375
4,blue,green,-1.40625,-0.28125
4,blue,yellow,-0.98388671875,-0.46826171875
4,blue,purple,-1.1689453125,-0.3720703125
4,green,red,-0.5966796875,-0.7998046875
4,green,blue,-0.88916015625,-0.52978515625
4,green,yellow,-0.65478515625,-0.73291015625
4,green,purple,-0.8798828125,-0.5361328125
4,yellow,red,-0.97412109375,-0.47412109375
4,yellow,blue,-1.279296875,-0.326171875
4,yellow,green,-1.6376953125,-0.2161865234375
4,yellow,purple,-1.3251953125,-0.30908203125
4,purple,red,-0.8525390625,-0.5556640625
4,purple,blue,-1.10546875,-0.40234375
4,purple,green,-1.359375,-0.296875
4,purple,yellow,-1.033203125,-0.439697265625
5,red,blue,-0.402099609375,-1.10546875
5,red,green,-0.46240234375,-0.99365234375
5,red,yellow,-0.39697265625,-1.1162109375
5,red,purple,-0.47412109375,-0.97412109375
5,blue,red,-0.391845703125,-1.1259765625
5,blue,green,-0.5166015625,-0.9072265625
5,blue,yellow,-0.4453125,-1.0234375
5,blue,purple,-0.50439453125,-0.92626953125
5,green,red,-0.357666015625,-1.201171875
5,green,blue,-0.42333984375,-1.0634765625
5,green,yellow,-0.3818359375,-1.1474609375
5,green,purple,-0.439697265625,-1.033203125
5,yellow,red,-0.52294921875,-0.89794921875
5,yellow,blue,-0.61083984375,-0.78271484375
5,yellow,green,-0.701171875,-0.685546875
5,yellow,purple,-0.61083984375,-0.78271484375
5,purple,red,-0.386962890625,-1.13671875
5,purple,blue,-0.43408203125,-1.0439453125
5,purple,green,-0.45654296875,-1.00390625
5,purple,yellow,-0.402099609375,-1.10546875
6,red,blue,-1.3251953125,-0.30908203125
6,red,green,-1.6376953125,-0.2161865234375
6,red,yellow,-1.3017578125,-0.3173828125
6,red,purple,-1.587890625,-0.2286376953125
6,blue,red,-1.1796875,-0.3671875
6,blue,green,-1.896484375,-0.16259765625
6,blue,yellow,-1.37109375,-0.29296875
6,blue,purple,-1.67578125,-0.2071533203125
6,green,red,-0.73291015625,-0.65478515625
6,green,blue,-1.158203125,-0.376953125
6,green,yellow,-0.80859375,-0.58984375
6,green,purple,-1.1259765625,-0.391845703125
6,yellow,red,-1.40625,-0.28125
