template_idx,score_a,score_b,a_brand,a_screen,a_ram,b_brand,b_screen,b_ram
0,-14.5,-4.76837158203125e-07,ASUS,13-inch,4GB,ASUS,13-inch,8GB
0,-14.1875,-7.152557373046875e-07,ASUS,13-inch,4GB,ASUS,13-inch,16GB
0,-1.4765625,-0.259765625,ASUS,13-inch,4GB,ASUS,14-inch,4GB
0,-13.6875,-1.1920928955078125e-06,ASUS,13-inch,4GB,ASUS,14-inch,8GB
0,-13.5,-1.430511474609375e-06,ASUS,13-inch,4GB,ASUS,14-inch,16GB
0,-0.486328125,-0.953125,ASUS,13-inch,4GB,ASUS,16-inch,4GB
0,-12.125,-5.602836608886719e-06,ASUS,13-inch,4GB,ASUS,16-inch,8GB
0,-11.5,-1.049041748046875e-05,ASUS,13-inch,4GB,ASUS,16-inch,16GB
0,-0.91796875,-0.51171875,ASUS,13-inch,4GB,Lenovo,13-inch,4GB
0,-13.9375,-9.5367431640625e-07,ASUS,13-inch,4GB,Lenovo,13-inch,8GB
0,-13.3125,-1.6689300537109375e-06,ASUS,13-inch,4GB,Lenovo,13-inch,16GB
0,-1.15625,-0.376953125,ASUS,13-inch,4GB,Lenovo,14-inch,4GB
0,-13.5,-1.430511474609375e-06,ASUS,13-inch,4GB,Lenovo,14-inch,8GB
0,-13.125,-2.0265579223632812e-06,ASUS,13-inch,4GB,Lenovo,14-inch,16GB
0,-0.2890625,-1.3828125,ASUS,13-inch,4GB,Lenovo,16-inch,4GB
0,-12.1875,-5.245208740234375e-06,ASUS,13-inch,4GB,Lenovo,16-inch,8GB
0,-10.8125,-2.0503997802734375e-05,ASUS,13-inch,4GB,Lenovo,16-inch,16GB
0,-0.7421875,-0.6484375,ASUS,13-inch,4GB,HP,13-inch,4GB
0,-14.1875,-7.152557373046875e-07,ASUS,13-inch,4GB,HP,13-inch,8GB
0,-13.75,-1.0728836059570312e-06,ASUS,13-inch,4GB,HP,13-inch,16GB
0,-1.0546875,-0.427734375,ASUS,13-inch,4GB,HP,14-inch,4GB
0,-13.8125,-1.0728836059570312e-06,ASUS,13-inch,4GB,HP,14-inch,8GB
0,-13.625,-1.1920928955078125e-06,ASUS,13-inch,4GB,HP,14-inch,16GB
0,-0.21875,-1.625,ASUS,13-inch,4GB,HP,16-inch,4GB
0,-12.4375,-4.0531158447265625e-06,ASUS,13-inch,4GB,HP,16-inch,8GB
0,-11.3125,-1.2040138244628906e-05,ASUS,13-inch,4GB,HP,16-inch,16GB
0,-1.3828125,-0.2890625,ASUS,13-inch,4GB,Dell,13-inch,4GB
0,-14.125,-7.152557373046875e-07,ASUS,13-inch,4GB,Dell,13-inch,8GB
0,-13.875,-9.5367431640625e-07,ASUS,13-inch,4GB,Dell,13-inch,16GB
0,-1.7265625,-0.1953125,ASUS,13-inch,4GB,Dell,14-inch,4GB
0,-13.8125,-9.5367431640625e-07,ASUS,13-inch,4GB,Dell,14-inch,8GB
0,-13.75,-1.0728836059570312e-06,ASUS,13-inch,4GB,Dell,14-inch,16GB
0,-0.427734375,-1.0546875,ASUS,13-inch,4GB,Dell,16-inch,4GB
0,-12.5,-3.6954879760742188e-06,ASUS,13-inch,4GB,Dell,16-inch,8GB
0,-11.4375,-1.0609626770019531e-05,ASUS,13-inch,4GB,Dell,16-inch,16GB
0,-0.953125,-0.486328125,ASUS,13-inch,4GB,Apple,13-inch,4GB
0,-11.875,-7.033348083496094e-06,ASUS,13-inch,4GB,Apple,13-inch,8GB
0,-11.1875,-1.430511474609375e-05,ASUS,13-inch,4GB,Apple,13-inch,16GB
0,-0.67578125,-0.70703125,ASUS,13-inch,4GB,Apple,14-inch,4GB
0,-11.4375,-1.1086463928222656e-05,ASUS,13-inch,4GB,Apple,14-inch,8GB
0,-11.0625,-1.621246337890625e-05,ASUS,13-inch,4GB,Apple,14-inch,16GB
0,-0.1064453125,-2.296875,ASUS,13-inch,4GB,Apple,16-inch,4GB
0,-10.4375,-2.9802322387695312e-05,ASUS,13-inch,4GB,Apple,16-inch,8GB
0,-9.25,-9.775161743164062e-05,ASUS,13-inch,4GB,Apple,16-inch,16GB
0,-2.2649765014648438e-06,-13.0625,ASUS,13-inch,8GB,ASUS,13-inch,4GB
0,-11.875,-6.9141387939453125e-06,ASUS,13-inch,8GB,ASUS,13-inch,16GB
0,-1.5497207641601562e-05,-11.0625,ASUS,13-inch,8GB,ASUS,14-inch,4GB
0,-1.703125,-0.201171875,ASUS,13-inch,8GB,ASUS,14-inch,8GB
0,-10.125,-4.00543212890625e-05,ASUS,13-inch,8GB,ASUS,14-inch,16GB
0,-1.728534698486328e-05,-11.0,ASUS,13-inch,8GB,ASUS,16-inch,4GB
0,-0.7421875,-0.6484375,ASUS,13-inch,8GB,ASUS,16-inch,8GB
0,-5.3125,-0.0050048828125,ASUS,13-inch,8GB,ASUS,16-inch,16GB
0,-3.814697265625e-06,-12.5,ASUS,13-inch,8GB,Lenovo,13-inch,4GB
0,-0.55078125,-0.86328125,ASUS,13-inch,8GB,Lenovo,13-inch,8GB
0,-9.5,-7.677078247070312e-05,ASUS,13-inch,8GB,Lenovo,13-inch,16GB
0,-1.2755393981933594e-05,-11.25,ASUS,13-inch,8GB,Lenovo,14-inch,4GB
0,-1.140625,-0.38671875,ASUS,13-inch,8GB,Lenovo,14-inch,8GB
0,-7.75,-0.0004367828369140625,ASUS,13-inch,8GB,Lenovo,14-inch,16GB
0,-1.9788742065429688e-05,-10.8125,ASUS,13-inch,8GB,Lenovo,16-inch,4GB
0,-0.486328125,-0.953125,ASUS,13-inch,8GB,Lenovo,16-inch,8GB
0,-4.125,-0.0162353515625,ASUS,13-inch,8GB,Lenovo,16-inch,16GB
0,-2.0265579223632812e-06,-13.125,ASUS,13-inch,8GB,HP,13-inch,4GB
0,-0.427734375,-1.0546875,ASUS,13-inch,8GB,HP,13-inch,8GB
0,-10.5625,-2.6702880859375e-05,ASUS,13-inch,8GB,HP,13-inch,16GB
0,-7.62939453125e-06,-11.8125,ASUS,13-inch,8GB,HP,14-inch,4GB
0,-1.015625,-0.451171875,ASUS,13-inch,8GB,HP,14-inch,8GB
0,-9.0625,-0.00011396408081054688,ASUS,13-inch,8GB,HP,14-inch,16GB
0,-1.1086463928222656e-05,-11.4375,ASUS,13-inch,8GB,HP,16-inch,4GB
0,-0.41796875,-1.0703125,ASUS,13-inch,8GB,HP,16-inch,8GB
