template_idx,score_a,score_b,a_brand,a_screen,a_ram,b_brand,b_screen,b_ram
0,-0.0234375,0.73046875,ASUS,13-inch,4GB,ASUS,13-inch,8GB
0,-0.6875,0.9375,ASUS,13-inch,4GB,ASUS,13-inch,16GB
0,0.14453125,0.640625,ASUS,13-inch,4GB,ASUS,14-inch,4GB
0,-0.0234375,0.73046875,ASUS,13-inch,4GB,ASUS,14-inch,8GB
0,-0.484375,0.890625,ASUS,13-inch,4GB,ASUS,14-inch,16GB
0,-0.109375,0.76953125,ASUS,13-inch,4GB,ASUS,16-inch,4GB
0,-0.2890625,0.8359375,ASUS,13-inch,4GB,ASUS,16-inch,8GB
0,-0.2890625,0.8359375,ASUS,13-inch,4GB,ASUS,16-inch,16GB
0,0.21875,0.59375,ASUS,13-inch,4GB,Lenovo,13-inch,4GB
0,0.14453125,0.640625,ASUS,13-inch,4GB,Lenovo,13-inch,8GB
0,-0.1953125,0.8046875,ASUS,13-inch,4GB,Lenovo,13-inch,16GB
0,0.21875,0.59375,ASUS,13-inch,4GB,Lenovo,14-inch,4GB
0,0.14453125,0.640625,ASUS,13-inch,4GB,Lenovo,14-inch,8GB
0,-0.109375,0.76953125,ASUS,13-inch,4GB,Lenovo,14-inch,16GB
0,0.0625,0.6875,ASUS,13-inch,4GB,Lenovo,16-inch,4GB
0,-0.0234375,0.73046875,ASUS,13-inch,4GB,Lenovo,16-inch,8GB
0,-0.0234375,0.73046875,ASUS,13-inch,4GB,Lenovo,16-inch,16GB
0,0.21875,0.59375,ASUS,13-inch,4GB,HP,13-inch,4GB
0,0.14453125,0.640625,ASUS,13-inch,4GB,HP,13-inch,8GB
0,-0.3828125,0.8671875,ASUS,13-inch,4GB,HP,13-inch,16GB
0,0.14453125,0.640625,ASUS,13-inch,4GB,HP,14-inch,4GB
0,0.14453125,0.640625,ASUS,13-inch,4GB,HP,14-inch,8GB
0,-0.1953125,0.8046875,ASUS,13-inch,4GB,HP,14-inch,16GB
0,-0.109375,0.76953125,ASUS,13-inch,4GB,HP,16-inch,4GB
0,-0.109375,0.76953125,ASUS,13-inch,4GB,HP,16-inch,8GB
0,-0.109375,0.76953125,ASUS,13-inch,4GB,HP,16-inch,16GB
0,0.21875,0.59375,ASUS,13-inch,4GB,Dell,13-inch,4GB
0,0.21875,0.59375,ASUS,13-inch,4GB,Dell,13-inch,8GB
0,-0.1953125,0.8046875,ASUS,13-inch,4GB,Dell,13-inch,16GB
0,0.21875,0.59375,ASUS,13-inch,4GB,Dell,14-inch,4GB
0,0.14453125,0.640625,ASUS,13-inch,4GB,Dell,14-inch,8GB
0,-0.0234375,0.73046875,ASUS,13-inch,4GB,Dell,14-inch,16GB
0,0.0625,0.6875,ASUS,13-inch,4GB,Dell,16-inch,4GB
0,-0.0234375,0.73046875,ASUS,13-inch,4GB,Dell,16-inch,8GB
0,-0.0234375,0.73046875,ASUS,13-inch,4GB,Dell,16-inch,16GB
0,0.21875,0.59375,ASUS,13-inch,4GB,Apple,13-inch,4GB
0,0.0625,0.6875,ASUS,13-inch,4GB,Apple,13-inch,8GB
0,-0.2890625,0.8359375,ASUS,13-inch,4GB,Apple,13-inch,16GB
0,0.21875,0.59375,ASUS,13-inch,4GB,Apple,14-inch,4GB
0,0.14453125,0.640625,ASUS,13-inch,4GB,Apple,14-inch,8GB
0,-0.109375,0.76953125,ASUS,13-inch,4GB,Apple,14-inch,16GB
0,0.0625,0.6875,ASUS,13-inch,4GB,Apple,16-inch,4GB
0,-0.0234375,0.73046875,ASUS,13-inch,4GB,Apple,16-inch,8GB
0,-0.0234375,0.73046875,ASUS,13-inch,4GB,Apple,16-inch,16GB
