template_idx,score_a,score_b,a_brand,a_screen,a_ram,b_brand,b_screen,b_ram
0,-23.25,5.25,ASUS,13-inch,4GB,ASUS,13-inch,8GB
0,-22.625,5.25,ASUS,13-inch,4GB,ASUS,13-inch,16GB
0,-24.125,5.25,ASUS,13-inch,4GB,ASUS,14-inch,4GB
0,-26.875,5.25,ASUS,13-inch,4GB,ASUS,14-inch,8GB
0,-26.875,5.25,ASUS,13-inch,4GB,ASUS,14-inch,16GB
0,0.00579833984375,-14.0,ASUS,13-inch,4GB,ASUS,16-inch,4GB
0,0.00579833984375,-8.75,ASUS,13-inch,4GB,ASUS,16-inch,8GB
0,0.00579833984375,-8.0,ASUS,13-inch,4GB,ASUS,16-inch,16GB
0,-2.8125,5.1875,ASUS,13-inch,4GB,Lenovo,13-inch,4GB
0,-21.125,5.25,ASUS,13-inch,4GB,Lenovo,13-inch,8GB
0,-20.625,5.25,ASUS,13-inch,4GB,Lenovo,13-inch,16GB
0,-24.0,5.25,ASUS,13-inch,4GB,Lenovo,14-inch,4GB
0,-27.25,5.25,ASUS,13-inch,4GB,Lenovo,14-inch,8GB
0,-27.0,5.25,ASUS,13-inch,4GB,Lenovo,14-inch,16GB
0,0.00579833984375,-14.125,ASUS,13-inch,4GB,Lenovo,16-inch,4GB
0,0.00579833984375,-9.0,ASUS,13-inch,4GB,Lenovo,16-inch,8GB
0,0.00579833984375,-8.25,ASUS,13-inch,4GB,Lenovo,16-inch,16GB
0,0.004302978515625,-1.25,ASUS,13-inch,4GB,HP,13-inch,4GB
0,-20.375,5.25,ASUS,13-inch,4GB,HP,13-inch,8GB
0,-20.25,5.25,ASUS,13-inch,4GB,HP,13-inch,16GB
0,-23.625,5.25,ASUS,13-inch,4GB,HP,14-inch,4GB
0,-26.5,5.25,ASUS,13-inch,4GB,HP,14-inch,8GB
0,-26.0,5.25,ASUS,13-inch,4GB,HP,14-inch,16GB
0,0.00579833984375,-14.0,ASUS,13-inch,4GB,HP,16-inch,4GB
0,0.00579833984375,-8.5,ASUS,13-inch,4GB,HP,16-inch,8GB
0,0.00579833984375,-8.5,ASUS,13-inch,4GB,HP,16-inch,16GB
0,-0.0028076171875,0.5,ASUS,13-inch,4GB,Dell,13-inch,4GB
0,-21.5,5.25,ASUS,13-inch,4GB,Dell,13-inch,8GB
0,-20.75,5.25,ASUS,13-inch,4GB,Dell,13-inch,16GB
0,-23.875,5.25,ASUS,13-inch,4GB,Dell,14-inch,4GB
0,-26.875,5.25,ASUS,13-inch,4GB,Dell,14-inch,8GB
0,-26.5,5.25,ASUS,13-inch,4GB,Dell,14-inch,16GB
0,0.00579833984375,-14.0,ASUS,13-inch,4GB,Dell,16-inch,4GB
0,0.00579833984375,-9.625,ASUS,13-inch,4GB,Dell,16-inch,8GB
0,0.00579833984375,-8.5,ASUS,13-inch,4GB,Dell,16-inch,16GB
0,-8.75,5.25,ASUS,13-inch,4GB,Apple,13-inch,4GB
0,-18.375,5.25,ASUS,13-inch,4GB,Apple,13-inch,8GB
0,-17.875,5.25,ASUS,13-inch,4GB,Apple,13-inch,16GB
0,-21.875,5.25,ASUS,13-inch,4GB,Apple,14-inch,4GB
0,-25.875,5.25,ASUS,13-inch,4GB,Apple,14-inch,8GB
0,-25.875,5.25,ASUS,13-inch,4GB,Apple,14-inch,16GB
0,0.00579833984375,-14.625,ASUS,13-inch,4GB,Apple,16-inch,4GB
0,0.00579833984375,-12.0,ASUS,13-inch,4GB,Apple,16-inch,8GB
0,0.00579833984375,-11.375,ASUS,13-inch,4GB,Apple,16-inch,16GB
0,0.00579833984375,-14.0,ASUS,13-inch,8GB,ASUS,13-inch,4GB
0,-20.5,5.25,ASUS,13-inch,8GB,ASUS,13-inch,16GB
0,-14.875,5.25,ASUS,13-inch,8GB,ASUS,14-inch,4GB
0,-24.75,5.25,ASUS,13-inch,8GB,ASUS,14-inch,8GB
0,-26.25,5.25,ASUS,13-inch,8GB,ASUS,14-inch,16GB
0,0.00579833984375,-14.625,ASUS,13-inch,8GB,ASUS,16-inch,4GB
0,0.00579833984375,-13.875,ASUS,13-inch,8GB,ASUS,16-inch,8GB
0,0.00579833984375,-12.375,ASUS,13-inch,8GB,ASUS,16-inch,16GB
0,0.00579833984375,-12.375,ASUS,13-inch,8GB,Lenovo,13-inch,4GB
0,-0.05615234375,2.4375,ASUS,13-inch,8GB,Lenovo,13-inch,8GB
0,-17.25,5.25,ASUS,13-inch,8GB,Lenovo,13-inch,16GB
0,-16.25,5.25,ASUS,13-inch,8GB,Lenovo,14-inch,4GB
