,template,option_a,option_b,prompt,score_a,score_b
0,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",red,blue,"You have two options:
Option 1 - red
Option 2 - blue
Which do you prefer?
Answer: ",-1.55078125,-0.2384033203125
1,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",red,green,"You have two options:
Option 1 - red
Option 2 - green
Which do you prefer?
Answer: ",-1.8974609375,-0.16259765625
2,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",red,yellow,"You have two options:
Option 1 - red
Option 2 - yellow
Which do you prefer?
Answer: ",-1.513671875,-0.24853515625
3,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",red,purple,"You have two options:
Option 1 - red
Option 2 - purple
Which do you prefer?
Answer: ",-1.5634765625,-0.235107421875
4,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",blue,red,"You have two options:
Option 1 - blue
Option 2 - red
Which do you prefer?
Answer: ",-1.234375,-0.343994140625
5,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",blue,green,"You have two options:
Option 1 - blue
Option 2 - green
Which do you prefer?
Answer: ",-1.8837890625,-0.1650390625
6,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",blue,yellow,"You have two options:
Option 1 - blue
Option 2 - yellow
Which do you prefer?
Answer: ",-1.37109375,-0.29296875
7,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",blue,purple,"You have two options:
Option 1 - blue
Option 2 - purple
Which do you prefer?
Answer: ",-1.55078125,-0.2384033203125
8,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",green,red,"You have two options:
Option 1 - green
Option 2 - red
Which do you prefer?
Answer: ",-0.79150390625,-0.60400390625
9,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",green,blue,"You have two options:
Option 1 - green
Option 2 - blue
Which do you prefer?
Answer: ",-1.13671875,-0.386962890625
10,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",green,yellow,"You have two options:
Option 1 - green
Option 2 - yellow
Which do you prefer?
Answer: ",-0.88916015625,-0.52978515625
