,template,option_a,option_b,prompt,score_a,score_b
0,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",red,blue,"You have two options:
Option 1 - red
Option 2 - blue
Which do you prefer?
Answer: ",-0.061981201171875,-2.8125
1,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",red,green,"You have two options:
Option 1 - red
Option 2 - green
Which do you prefer?
Answer: ",-0.58984375,-0.80859375
2,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",red,yellow,"You have two options:
Option 1 - red
Option 2 - yellow
Which do you prefer?
Answer: ",-0.0972900390625,-2.37890625
3,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",red,purple,"You have two options:
Option 1 - red
Option 2 - purple
Which do you prefer?
Answer: ",-0.259033203125,-1.4775390625
4,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",blue,red,"You have two options:
Option 1 - blue
Option 2 - red
Which do you prefer?
Answer: ",-0.06011962890625,-2.841796875
5,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",blue,green,"You have two options:
Option 1 - blue
Option 2 - green
Which do you prefer?
Answer: ",-0.09442138671875,-2.40625
6,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",blue,yellow,"You have two options:
Option 1 - blue
Option 2 - yellow
Which do you prefer?
Answer: ",-0.0638427734375,-2.783203125
7,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",blue,purple,"You have two options:
Option 1 - blue
Option 2 - purple
Which do you prefer?
Answer: ",-0.251953125,-1.501953125
8,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",green,red,"You have two options:
Option 1 - green
Option 2 - red
Which do you prefer?
Answer: ",-0.0160369873046875,-4.140625
9,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",green,blue,"You have two options:
Option 1 - green
Option 2 - blue
Which do you prefer?
Answer: ",-0.041717529296875,-3.197265625
10,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",green,yellow,"You have two options:
Option 1 - green
Option 2 - yellow
Which do you prefer?
Answer: ",-0.01416015625,-4.265625
11,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",green,purple,"You have two options:
Option 1 - green
Option 2 - purple
Which do you prefer?
Answer: ",-0.034698486328125,-3.37890625
12,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",yellow,red,"You have two options:
Option 1 - yellow
Option 2 - red
Which do you prefer?
Answer: ",-0.126953125,-2.126953125
13,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",yellow,blue,"You have two options:
Option 1 - yellow
Option 2 - blue
Which do you prefer?
Answer: ",-0.07891845703125,-2.578125
14,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",yellow,green,"You have two options:
Option 1 - yellow
Option 2 - green
Which do you prefer?
Answer: ",-0.296875,-1.359375
15,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",yellow,purple,"You have two options:
Option 1 - yellow
Option 2 - purple
Which do you prefer?
Answer: ",-0.1746826171875,-1.8310546875
16,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",purple,red,"You have two options:
Option 1 - purple
Option 2 - red
Which do you prefer?
Answer: ",-1.1796875,-0.3671875
17,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",purple,blue,"You have two options:
Option 1 - purple
Option 2 - blue
Which do you prefer?
Answer: ",-2.181640625,-0.11968994140625
18,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",purple,green,"You have two options:
Option 1 - purple
Option 2 - green
Which do you prefer?
Answer: ",-0.79150390625,-0.60400390625
19,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",purple,yellow,"You have two options:
Option 1 - purple
Option 2 - yellow
Which do you prefer?
Answer: ",-0.7412109375,-0.6474609375
20,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",red,blue,"You have two options:
Option 1 - red
Option 2 - blue
Do you prefer option 1 or option 2?
Answer: ",-0.348388671875,-1.2236328125
21,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",red,green,"You have two options:
Option 1 - red
Option 2 - green
Do you prefer option 1 or option 2?
Answer: ",-2.841796875,-0.06011962890625
22,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",red,yellow,"You have two options:
Option 1 - red
Option 2 - yellow
Do you prefer option 1 or option 2?
Answer: ",-0.083740234375,-2.521484375
23,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",red,purple,"You have two options:
Option 1 - red
Option 2 - purple
Do you prefer option 1 or option 2?
Answer: ",-0.06011962890625,-2.841796875
24,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",blue,red,"You have two options:
Option 1 - blue
Option 2 - red
Do you prefer option 1 or option 2?
Answer: ",-0.00946044921875,-4.6640625
25,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",blue,green,"You have two options:
Option 1 - blue
Option 2 - green
Do you prefer option 1 or option 2?
Answer: ",-0.036895751953125,-3.318359375
26,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",blue,yellow,"You have two options:
Option 1 - blue
Option 2 - yellow
Do you prefer option 1 or option 2?
Answer: ",-0.01290130615234375,-4.35546875
27,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",blue,purple,"You have two options:
Option 1 - blue
Option 2 - purple
Do you prefer option 1 or option 2?
Answer: ",-0.01654052734375,-4.109375
28,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",green,red,"You have two options:
Option 1 - green
Option 2 - red
Do you prefer option 1 or option 2?
Answer: ",-0.0001882314682006836,-8.578125
29,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",green,blue,"You have two options:
Option 1 - green
Option 2 - blue
Do you prefer option 1 or option 2?
Answer: ",-0.004619598388671875,-5.37890625
30,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",green,yellow,"You have two options:
Option 1 - green
Option 2 - yellow
Do you prefer option 1 or option 2?
Answer: ",-6.508827209472656e-05,-9.640625
31,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",green,purple,"You have two options:
Option 1 - green
Option 2 - purple
Do you prefer option 1 or option 2?
Answer: ",-0.0007557868957519531,-7.1875
32,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",yellow,red,"You have two options:
Option 1 - yellow
Option 2 - red
Do you prefer option 1 or option 2?
Answer: ",-0.01506805419921875,-4.203125
33,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",yellow,blue,"You have two options:
Option 1 - yellow
Option 2 - blue
Do you prefer option 1 or option 2?
Answer: ",-0.1346435546875,-2.072265625
34,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",yellow,green,"You have two options:
Option 1 - yellow
Option 2 - green
Do you prefer option 1 or option 2?
Answer: ",-0.58984375,-0.80859375
35,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",yellow,purple,"You have two options:
Option 1 - yellow
Option 2 - purple
Do you prefer option 1 or option 2?
Answer: ",-0.01416015625,-4.265625
