template,option_a,option_b,prompt,score_a,score_b
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",red,blue,"You have two options:
Option 1 - red
Option 2 - blue
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",red,green,"You have two options:
Option 1 - red
Option 2 - green
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",red,yellow,"You have two options:
Option 1 - red
Option 2 - yellow
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",red,purple,"You have two options:
Option 1 - red
Option 2 - purple
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",blue,red,"You have two options:
Option 1 - blue
Option 2 - red
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",blue,green,"You have two options:
Option 1 - blue
Option 2 - green
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",blue,yellow,"You have two options:
Option 1 - blue
Option 2 - yellow
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",blue,purple,"You have two options:
Option 1 - blue
Option 2 - purple
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",green,red,"You have two options:
Option 1 - green
Option 2 - red
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",green,blue,"You have two options:
Option 1 - green
Option 2 - blue
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",green,yellow,"You have two options:
Option 1 - green
Option 2 - yellow
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",green,purple,"You have two options:
Option 1 - green
Option 2 - purple
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",yellow,red,"You have two options:
Option 1 - yellow
Option 2 - red
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",yellow,blue,"You have two options:
Option 1 - yellow
Option 2 - blue
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",yellow,green,"You have two options:
Option 1 - yellow
Option 2 - green
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",yellow,purple,"You have two options:
Option 1 - yellow
Option 2 - purple
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",purple,red,"You have two options:
Option 1 - purple
Option 2 - red
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",purple,blue,"You have two options:
Option 1 - purple
Option 2 - blue
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",purple,green,"You have two options:
Option 1 - purple
Option 2 - green
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",purple,yellow,"You have two options:
Option 1 - purple
Option 2 - yellow
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",red,blue,"You have two options:
Option 1 - red
Option 2 - blue
Do you prefer option 1 or option 2?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",red,green,"You have two options:
Option 1 - red
Option 2 - green
Do you prefer option 1 or option 2?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",red,yellow,"You have two options:
Option 1 - red
Option 2 - yellow
Do you prefer option 1 or option 2?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",red,purple,"You have two options:
Option 1 - red
Option 2 - purple
Do you prefer option 1 or option 2?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",blue,red,"You have two options:
Option 1 - blue
Option 2 - red
Do you prefer option 1 or option 2?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",blue,green,"You have two options:
Option 1 - blue
Option 2 - green
Do you prefer option 1 or option 2?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",blue,yellow,"You have two options:
Option 1 - blue
Option 2 - yellow
Do you prefer option 1 or option 2?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",blue,purple,"You have two options:
Option 1 - blue
Option 2 - purple
Do you prefer option 1 or option 2?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",green,red,"You have two options:
Option 1 - green
Option 2 - red
Do you prefer option 1 or option 2?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",green,blue,"You have two options:
Option 1 - green
Option 2 - blue
Do you prefer option 1 or option 2?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",green,yellow,"You have two options:
Option 1 - green
Option 2 - yellow
Do you prefer option 1 or option 2?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",green,purple,"You have two options:
Option 1 - green
Option 2 - purple
Do you prefer option 1 or option 2?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",yellow,red,"You have two options:
Option 1 - yellow
Option 2 - red
Do you prefer option 1 or option 2?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",yellow,blue,"You have two options:
Option 1 - yellow
Option 2 - blue
Do you prefer option 1 or option 2?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",yellow,green,"You have two options:
Option 1 - yellow
Option 2 - green
Do you prefer option 1 or option 2?
Answer: ",,
