,template,option_a,option_b,prompt,score_a,score_b
0,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",red,blue,"You have two options:
Option 1 - red
Option 2 - blue
Which do you prefer?
Answer: ",-0.039215087890625,-3.2578125
1,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",red,green,"You have two options:
Option 1 - red
Option 2 - green
Which do you prefer?
Answer: ",-0.5625,-0.84375
2,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",red,yellow,"You have two options:
Option 1 - red
Option 2 - yellow
Which do you prefer?
Answer: ",-0.00960540771484375,-4.6484375
3,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",red,purple,"You have two options:
Option 1 - red
Option 2 - purple
Which do you prefer?
Answer: ",-0.4453125,-1.0234375
4,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",blue,red,"You have two options:
Option 1 - blue
Option 2 - red
Which do you prefer?
Answer: ",-0.000743865966796875,-7.203125
5,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",blue,green,"You have two options:
Option 1 - blue
Option 2 - green
Which do you prefer?
Answer: ",-0.040435791015625,-3.228515625
6,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",blue,yellow,"You have two options:
Option 1 - blue
Option 2 - yellow
Which do you prefer?
Answer: ",-0.003543853759765625,-5.64453125
7,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",blue,purple,"You have two options:
Option 1 - blue
Option 2 - purple
Which do you prefer?
Answer: ",-0.1986083984375,-1.7138671875
8,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",green,red,"You have two options:
Option 1 - green
Option 2 - red
Which do you prefer?
Answer: ",-0.00048804283142089844,-7.625
9,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",green,blue,"You have two options:
Option 1 - green
Option 2 - blue
Which do you prefer?
Answer: ",-0.935546875,-0.498046875
10,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",green,yellow,"You have two options:
Option 1 - green
Option 2 - yellow
Which do you prefer?
Answer: ",-0.0011701583862304688,-6.75
11,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",green,purple,"You have two options:
Option 1 - green
Option 2 - purple
Which do you prefer?
Answer: ",-0.020233154296875,-3.91015625
12,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",yellow,red,"You have two options:
Option 1 - yellow
Option 2 - red
Which do you prefer?
Answer: ",-0.010711669921875,-4.54296875
13,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",yellow,blue,"You have two options:
Option 1 - yellow
Option 2 - blue
Which do you prefer?
Answer: ",-2.666015625,-0.07208251953125
14,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",yellow,green,"You have two options:
Option 1 - yellow
Option 2 - green
Which do you prefer?
Answer: ",-0.3720703125,-1.1689453125
15,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",yellow,purple,"You have two options:
Option 1 - yellow
Option 2 - purple
Which do you prefer?
Answer: ",-0.33056640625,-1.267578125
16,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",purple,red,"You have two options:
Option 1 - purple
Option 2 - red
Which do you prefer?
Answer: ",-0.41796875,-1.07421875
17,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",purple,blue,"You have two options:
Option 1 - purple
Option 2 - blue
Which do you prefer?
Answer: ",-6.71875,-0.0012073516845703125
18,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",purple,green,"You have two options:
Option 1 - purple
Option 2 - green
Which do you prefer?
Answer: ",-0.97412109375,-0.47412109375
19,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",purple,yellow,"You have two options:
Option 1 - purple
Option 2 - yellow
Which do you prefer?
Answer: ",-0.32177734375,-1.2900390625
20,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",red,blue,"You have two options:
Option 1 - red
Option 2 - blue
Do you prefer option 1 or option 2?
Answer: ",-0.020233154296875,-3.91015625
21,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",red,green,"You have two options:
Option 1 - red
Option 2 - green
Do you prefer option 1 or option 2?
Answer: ",-1.1904296875,-0.362548828125
22,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",red,yellow,"You have two options:
Option 1 - red
Option 2 - yellow
Do you prefer option 1 or option 2?
Answer: ",-0.0016241073608398438,-6.421875
23,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",red,purple,"You have two options:
Option 1 - red
Option 2 - purple
Do you prefer option 1 or option 2?
Answer: ",-0.0423583984375,-3.18359375
24,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",blue,red,"You have two options:
Option 1 - blue
Option 2 - red
Do you prefer option 1 or option 2?
Answer: ",-1.728534698486328e-05,-10.96875
25,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",blue,green,"You have two options:
Option 1 - blue
Option 2 - green
Do you prefer option 1 or option 2?
Answer: ",-0.028411865234375,-3.576171875
26,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",blue,yellow,"You have two options:
Option 1 - blue
Option 2 - yellow
Do you prefer option 1 or option 2?
Answer: ",-0.0028934478759765625,-5.84765625
27,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",blue,purple,"You have two options:
Option 1 - blue
Option 2 - purple
Do you prefer option 1 or option 2?
Answer: ",-0.00960540771484375,-4.6484375
28,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",green,red,"You have two options:
Option 1 - green
Option 2 - red
Do you prefer option 1 or option 2?
Answer: ",-6.794929504394531e-06,-11.90625
