player_1,player_2,winner,template
red,blue,red,Option A: {A}. Option B: {B}. Select one:
red,green,green,Option A: {A}. Option B: {B}. Select one:
red,yellow,yellow,Option A: {A}. Option B: {B}. Select one:
red,purple,purple,Option A: {A}. Option B: {B}. Select one:
blue,red,blue,Option A: {A}. Option B: {B}. Select one:
blue,green,green,Option A: {A}. Option B: {B}. Select one:
blue,yellow,yellow,Option A: {A}. Option B: {B}. Select one:
blue,purple,purple,Option A: {A}. Option B: {B}. Select one:
green,red,green,Option A: {A}. Option B: {B}. Select one:
green,blue,green,Option A: {A}. Option B: {B}. Select one:
green,yellow,green,Option A: {A}. Option B: {B}. Select one:
green,purple,green,Option A: {A}. Option B: {B}. Select one:
yellow,red,yellow,Option A: {A}. Option B: {B}. Select one:
yellow,blue,yellow,Option A: {A}. Option B: {B}. Select one:
yellow,green,green,Option A: {A}. Option B: {B}. Select one:
yellow,purple,purple,Option A: {A}. Option B: {B}. Select one:
purple,red,purple,Option A: {A}. Option B: {B}. Select one:
purple,blue,purple,Option A: {A}. Option B: {B}. Select one:
purple,green,purple,Option A: {A}. Option B: {B}. Select one:
purple,yellow,purple,Option A: {A}. Option B: {B}. Select one:
red,blue,red,Choice: {A} or {B}? Answer:
red,green,green,Choice: {A} or {B}? Answer:
red,yellow,red,Choice: {A} or {B}? Answer:
red,purple,purple,Choice: {A} or {B}? Answer:
blue,red,blue,Choice: {A} or {B}? Answer:
blue,green,blue,Choice: {A} or {B}? Answer:
blue,yellow,blue,Choice: {A} or {B}? Answer:
blue,purple,purple,Choice: {A} or {B}? Answer:
green,red,green,Choice: {A} or {B}? Answer:
green,blue,green,Choice: {A} or {B}? Answer:
green,yellow,green,Choice: {A} or {B}? Answer:
green,purple,purple,Choice: {A} or {B}? Answer:
yellow,red,yellow,Choice: {A} or {B}? Answer:
yellow,blue,yellow,Choice: {A} or {B}? Answer:
yellow,green,yellow,Choice: {A} or {B}? Answer:
yellow,purple,purple,Choice: {A} or {B}? Answer:
purple,red,purple,Choice: {A} or {B}? Answer:
purple,blue,purple,Choice: {A} or {B}? Answer:
purple,green,purple,Choice: {A} or {B}? Answer:
purple,yellow,purple,Choice: {A} or {B}? Answer:
red,blue,red,"Pick one: {A}, {B}. Result:"
red,green,red,"Pick one: {A}, {B}. Result:"
red,yellow,red,"Pick one: {A}, {B}. Result:"
red,purple,purple,"Pick one: {A}, {B}. Result:"
blue,red,blue,"Pick one: {A}, {B}. Result:"
blue,green,blue,"Pick one: {A}, {B}. Result:"
blue,yellow,blue,"Pick one: {A}, {B}. Result:"
blue,purple,purple,"Pick one: {A}, {B}. Result:"
green,red,green,"Pick one: {A}, {B}. Result:"
green,blue,green,"Pick one: {A}, {B}. Result:"
green,yellow,green,"Pick one: {A}, {B}. Result:"
green,purple,purple,"Pick one: {A}, {B}. Result:"
yellow,red,yellow,"Pick one: {A}, {B}. Result:"
yellow,blue,yellow,"Pick one: {A}, {B}. Result:"
yellow,green,yellow,"Pick one: {A}, {B}. Result:"
yellow,purple,yellow,"Pick one: {A}, {B}. Result:"
purple,red,purple,"Pick one: {A}, {B}. Result:"
purple,blue,purple,"Pick one: {A}, {B}. Result:"
purple,green,purple,"Pick one: {A}, {B}. Result:"
purple,yellow,purple,"Pick one: {A}, {B}. Result:"
red,blue,blue,"Candidates: {A}, {B}. Choose one:"
red,green,green,"Candidates: {A}, {B}. Choose one:"
red,yellow,red,"Candidates: {A}, {B}. Choose one:"
red,purple,purple,"Candidates: {A}, {B}. Choose one:"
blue,red,blue,"Candidates: {A}, {B}. Choose one:"
blue,green,green,"Candidates: {A}, {B}. Choose one:"
blue,yellow,blue,"Candidates: {A}, {B}. Choose one:"
blue,purple,purple,"Candidates: {A}, {B}. Choose one:"
green,red,green,"Candidates: {A}, {B}. Choose one:"
green,blue,green,"Candidates: {A}, {B}. Choose one:"
green,yellow,green,"Candidates: {A}, {B}. Choose one:"
green,purple,purple,"Candidates: {A}, {B}. Choose one:"
yellow,red,yellow,"Candidates: {A}, {B}. Choose one:"
yellow,blue,yellow,"Candidates: {A}, {B}. Choose one:"
yellow,green,green,"Candidates: {A}, {B}. Choose one:"
yellow,purple,purple,"Candidates: {A}, {B}. Choose one:"
purple,red,purple,"Candidates: {A}, {B}. Choose one:"
purple,blue,purple,"Candidates: {A}, {B}. Choose one:"
purple,green,purple,"Candidates: {A}, {B}. Choose one:"
purple,yellow,purple,"Candidates: {A}, {B}. Choose one:"
red,blue,red,Task: Select {A} or {B}. Output:
red,green,green,Task: Select {A} or {B}. Output:
red,yellow,yellow,Task: Select {A} or {B}. Output:
red,purple,purple,Task: Select {A} or {B}. Output:
blue,red,blue,Task: Select {A} or {B}. Output:
blue,green,blue,Task: Select {A} or {B}. Output:
blue,yellow,blue,Task: Select {A} or {B}. Output:
blue,purple,purple,Task: Select {A} or {B}. Output:
green,red,green,Task: Select {A} or {B}. Output:
green,blue,green,Task: Select {A} or {B}. Output:
green,yellow,green,Task: Select {A} or {B}. Output:
green,purple,purple,Task: Select {A} or {B}. Output:
yellow,red,yellow,Task: Select {A} or {B}. Output:
yellow,blue,yellow,Task: Select {A} or {B}. Output:
yellow,green,yellow,Task: Select {A} or {B}. Output:
yellow,purple,yellow,Task: Select {A} or {B}. Output:
purple,red,purple,Task: Select {A} or {B}. Output:
purple,blue,purple,Task: Select {A} or {B}. Output:
purple,green,purple,Task: Select {A} or {B}. Output:
purple,yellow,purple,Task: Select {A} or {B}. Output:
red,blue,blue,Please choose between {A} and {B}. Choice:
red,green,green,Please choose between {A} and {B}. Choice:
red,yellow,red,Please choose between {A} and {B}. Choice:
red,purple,purple,Please choose between {A} and {B}. Choice:
blue,red,blue,Please choose between {A} and {B}. Choice:
blue,green,blue,Please choose between {A} and {B}. Choice:
blue,yellow,blue,Please choose between {A} and {B}. Choice:
blue,purple,purple,Please choose between {A} and {B}. Choice:
green,red,green,Please choose between {A} and {B}. Choice:
green,blue,green,Please choose between {A} and {B}. Choice:
green,yellow,green,Please choose between {A} and {B}. Choice:
green,purple,purple,Please choose between {A} and {B}. Choice:
yellow,red,yellow,Please choose between {A} and {B}. Choice:
yellow,blue,yellow,Please choose between {A} and {B}. Choice:
yellow,green,yellow,Please choose between {A} and {B}. Choice:
yellow,purple,purple,Please choose between {A} and {B}. Choice:
purple,red,purple,Please choose between {A} and {B}. Choice:
purple,blue,purple,Please choose between {A} and {B}. Choice:
purple,green,purple,Please choose between {A} and {B}. Choice:
purple,yellow,purple,Please choose between {A} and {B}. Choice:
red,blue,red,A or B? {A} vs {B}. Which do you prefer?
red,green,red,A or B? {A} vs {B}. Which do you prefer?
red,yellow,red,A or B? {A} vs {B}. Which do you prefer?
red,purple,red,A or B? {A} vs {B}. Which do you prefer?
blue,red,blue,A or B? {A} vs {B}. Which do you prefer?
blue,green,blue,A or B? {A} vs {B}. Which do you prefer?
blue,yellow,blue,A or B? {A} vs {B}. Which do you prefer?
blue,purple,blue,A or B? {A} vs {B}. Which do you prefer?
green,red,green,A or B? {A} vs {B}. Which do you prefer?
green,blue,green,A or B? {A} vs {B}. Which do you prefer?
green,yellow,green,A or B? {A} vs {B}. Which do you prefer?
green,purple,green,A or B? {A} vs {B}. Which do you prefer?
yellow,red,yellow,A or B? {A} vs {B}. Which do you prefer?
yellow,blue,yellow,A or B? {A} vs {B}. Which do you prefer?
yellow,green,yellow,A or B? {A} vs {B}. Which do you prefer?
yellow,purple,yellow,A or B? {A} vs {B}. Which do you prefer?
purple,red,purple,A or B? {A} vs {B}. Which do you prefer?
purple,blue,purple,A or B? {A} vs {B}. Which do you prefer?
purple,green,purple,A or B? {A} vs {B}. Which do you prefer?
purple,yellow,purple,A or B? {A} vs {B}. Which do you prefer?
red,blue,red,Which is preferred: {A} or {B}? Answer:
red,green,red,Which is preferred: {A} or {B}? Answer:
red,yellow,red,Which is preferred: {A} or {B}? Answer:
red,purple,purple,Which is preferred: {A} or {B}? Answer:
blue,red,blue,Which is preferred: {A} or {B}? Answer:
blue,green,blue,Which is preferred: {A} or {B}? Answer:
blue,yellow,blue,Which is preferred: {A} or {B}? Answer:
blue,purple,purple,Which is preferred: {A} or {B}? Answer:
green,red,green,Which is preferred: {A} or {B}? Answer:
green,blue,green,Which is preferred: {A} or {B}? Answer:
green,yellow,green,Which is preferred: {A} or {B}? Answer:
green,purple,green,Which is preferred: {A} or {B}? Answer:
yellow,red,yellow,Which is preferred: {A} or {B}? Answer:
yellow,blue,yellow,Which is preferred: {A} or {B}? Answer:
yellow,green,yellow,Which is preferred: {A} or {B}? Answer:
yellow,purple,yellow,Which is preferred: {A} or {B}? Answer:
purple,red,purple,Which is preferred: {A} or {B}? Answer:
purple,blue,purple,Which is preferred: {A} or {B}? Answer:
purple,green,purple,Which is preferred: {A} or {B}? Answer:
purple,yellow,purple,Which is preferred: {A} or {B}? Answer:
red,blue,red,Vote: {A} or {B}. Result:
red,green,red,Vote: {A} or {B}. Result:
red,yellow,red,Vote: {A} or {B}. Result:
red,purple,red,Vote: {A} or {B}. Result:
blue,red,blue,Vote: {A} or {B}. Result:
blue,green,blue,Vote: {A} or {B}. Result:
blue,yellow,blue,Vote: {A} or {B}. Result:
blue,purple,purple,Vote: {A} or {B}. Result:
green,red,green,Vote: {A} or {B}. Result:
green,blue,green,Vote: {A} or {B}. Result:
green,yellow,green,Vote: {A} or {B}. Result:
green,purple,green,Vote: {A} or {B}. Result:
yellow,red,yellow,Vote: {A} or {B}. Result:
yellow,blue,yellow,Vote: {A} or {B}. Result:
yellow,green,yellow,Vote: {A} or {B}. Result:
yellow,purple,yellow,Vote: {A} or {B}. Result:
purple,red,purple,Vote: {A} or {B}. Result:
purple,blue,purple,Vote: {A} or {B}. Result:
purple,green,purple,Vote: {A} or {B}. Result:
purple,yellow,purple,Vote: {A} or {B}. Result:
red,blue,red,{A} / {B}. Select:
red,green,red,{A} / {B}. Select:
red,yellow,red,{A} / {B}. Select:
red,purple,purple,{A} / {B}. Select:
blue,red,blue,{A} / {B}. Select:
blue,green,blue,{A} / {B}. Select:
blue,yellow,blue,{A} / {B}. Select:
blue,purple,purple,{A} / {B}. Select:
green,red,green,{A} / {B}. Select:
green,blue,green,{A} / {B}. Select:
green,yellow,green,{A} / {B}. Select:
green,purple,green,{A} / {B}. Select:
yellow,red,yellow,{A} / {B}. Select:
yellow,blue,yellow,{A} / {B}. Select:
yellow,green,yellow,{A} / {B}. Select:
yellow,purple,yellow,{A} / {B}. Select:
purple,red,purple,{A} / {B}. Select:
purple,blue,purple,{A} / {B}. Select:
purple,green,purple,{A} / {B}. Select:
purple,yellow,purple,{A} / {B}. Select:
red,blue,red,Name: {A}. Name: {B}. Preferred:
red,green,red,Name: {A}. Name: {B}. Preferred:
red,yellow,red,Name: {A}. Name: {B}. Preferred:
red,purple,purple,Name: {A}. Name: {B}. Preferred:
blue,red,blue,Name: {A}. Name: {B}. Preferred:
blue,green,blue,Name: {A}. Name: {B}. Preferred:
blue,yellow,blue,Name: {A}. Name: {B}. Preferred:
blue,purple,purple,Name: {A}. Name: {B}. Preferred:
green,red,green,Name: {A}. Name: {B}. Preferred:
green,blue,green,Name: {A}. Name: {B}. Preferred:
green,yellow,green,Name: {A}. Name: {B}. Preferred:
green,purple,purple,Name: {A}. Name: {B}. Preferred:
yellow,red,yellow,Name: {A}. Name: {B}. Preferred:
yellow,blue,yellow,Name: {A}. Name: {B}. Preferred:
yellow,green,yellow,Name: {A}. Name: {B}. Preferred:
yellow,purple,yellow,Name: {A}. Name: {B}. Preferred:
purple,red,purple,Name: {A}. Name: {B}. Preferred:
purple,blue,purple,Name: {A}. Name: {B}. Preferred:
purple,green,purple,Name: {A}. Name: {B}. Preferred:
purple,yellow,purple,Name: {A}. Name: {B}. Preferred:
red,blue,red,"Item 1: {A}
Item 2: {B}
Select:"
red,green,green,"Item 1: {A}
Item 2: {B}
Select:"
red,yellow,yellow,"Item 1: {A}
Item 2: {B}
Select:"
red,purple,purple,"Item 1: {A}
Item 2: {B}
Select:"
blue,red,blue,"Item 1: {A}
Item 2: {B}
Select:"
blue,green,blue,"Item 1: {A}
Item 2: {B}
Select:"
blue,yellow,yellow,"Item 1: {A}
Item 2: {B}
Select:"
blue,purple,purple,"Item 1: {A}
Item 2: {B}
Select:"
green,red,green,"Item 1: {A}
Item 2: {B}
Select:"
green,blue,green,"Item 1: {A}
Item 2: {B}
Select:"
green,yellow,green,"Item 1: {A}
Item 2: {B}
Select:"
green,purple,green,"Item 1: {A}
Item 2: {B}
Select:"
yellow,red,yellow,"Item 1: {A}
Item 2: {B}
Select:"
yellow,blue,yellow,"Item 1: {A}
Item 2: {B}
Select:"
yellow,green,yellow,"Item 1: {A}
Item 2: {B}
Select:"
yellow,purple,yellow,"Item 1: {A}
Item 2: {B}
Select:"
purple,red,purple,"Item 1: {A}
Item 2: {B}
Select:"
purple,blue,purple,"Item 1: {A}
Item 2: {B}
Select:"
purple,green,purple,"Item 1: {A}
Item 2: {B}
Select:"
purple,yellow,purple,"Item 1: {A}
Item 2: {B}
Select:"
red,blue,red,"Input: [{A}, {B}]
Output:"
red,green,red,"Input: [{A}, {B}]
Output:"
red,yellow,red,"Input: [{A}, {B}]
Output:"
red,purple,red,"Input: [{A}, {B}]
Output:"
blue,red,blue,"Input: [{A}, {B}]
Output:"
blue,green,blue,"Input: [{A}, {B}]
Output:"
blue,yellow,blue,"Input: [{A}, {B}]
Output:"
blue,purple,blue,"Input: [{A}, {B}]
Output:"
green,red,green,"Input: [{A}, {B}]
Output:"
green,blue,green,"Input: [{A}, {B}]
Output:"
green,yellow,green,"Input: [{A}, {B}]
Output:"
green,purple,green,"Input: [{A}, {B}]
Output:"
yellow,red,yellow,"Input: [{A}, {B}]
Output:"
yellow,blue,yellow,"Input: [{A}, {B}]
Output:"
yellow,green,yellow,"Input: [{A}, {B}]
Output:"
yellow,purple,yellow,"Input: [{A}, {B}]
Output:"
purple,red,purple,"Input: [{A}, {B}]
Output:"
purple,blue,purple,"Input: [{A}, {B}]
Output:"
purple,green,purple,"Input: [{A}, {B}]
Output:"
purple,yellow,purple,"Input: [{A}, {B}]
Output:"
red,blue,red,"Color_1 = {A}
Color_2 = {B}
Selected_Color ="
red,green,green,"Color_1 = {A}
Color_2 = {B}
Selected_Color ="
red,yellow,yellow,"Color_1 = {A}
Color_2 = {B}
Selected_Color ="
red,purple,purple,"Color_1 = {A}
Color_2 = {B}
Selected_Color ="
blue,red,blue,"Color_1 = {A}
Color_2 = {B}
Selected_Color ="
blue,green,green,"Color_1 = {A}
Color_2 = {B}
Selected_Color ="
blue,yellow,yellow,"Color_1 = {A}
Color_2 = {B}
Selected_Color ="
blue,purple,purple,"Color_1 = {A}
Color_2 = {B}
Selected_Color ="
green,red,green,"Color_1 = {A}
Color_2 = {B}
Selected_Color ="
green,blue,green,"Color_1 = {A}
Color_2 = {B}
Selected_Color ="
green,yellow,green,"Color_1 = {A}
Color_2 = {B}
Selected_Color ="
green,purple,green,"Color_1 = {A}
Color_2 = {B}
Selected_Color ="
yellow,red,yellow,"Color_1 = {A}
Color_2 = {B}
Selected_Color ="
yellow,blue,yellow,"Color_1 = {A}
Color_2 = {B}
Selected_Color ="
yellow,green,yellow,"Color_1 = {A}
Color_2 = {B}
Selected_Color ="
yellow,purple,purple,"Color_1 = {A}
Color_2 = {B}
Selected_Color ="
purple,red,purple,"Color_1 = {A}
Color_2 = {B}
Selected_Color ="
purple,blue,purple,"Color_1 = {A}
Color_2 = {B}
Selected_Color ="
purple,green,purple,"Color_1 = {A}
Color_2 = {B}
Selected_Color ="
purple,yellow,purple,"Color_1 = {A}
Color_2 = {B}
Selected_Color ="
red,blue,red,"Dataset: {A}, {B}. Filtered:"
