player_1,player_2,winner,template
red,blue,blue,Option A: {A}. Option B: {B}. Selected:
red,green,green,Option A: {A}. Option B: {B}. Selected:
red,yellow,yellow,Option A: {A}. Option B: {B}. Selected:
red,purple,red,Option A: {A}. Option B: {B}. Selected:
blue,red,red,Option A: {A}. Option B: {B}. Selected:
blue,green,green,Option A: {A}. Option B: {B}. Selected:
blue,yellow,yellow,Option A: {A}. Option B: {B}. Selected:
blue,purple,blue,Option A: {A}. Option B: {B}. Selected:
green,red,red,Option A: {A}. Option B: {B}. Selected:
green,blue,blue,Option A: {A}. Option B: {B}. Selected:
green,yellow,yellow,Option A: {A}. Option B: {B}. Selected:
green,purple,green,Option A: {A}. Option B: {B}. Selected:
yellow,red,red,Option A: {A}. Option B: {B}. Selected:
yellow,blue,blue,Option A: {A}. Option B: {B}. Selected:
yellow,green,yellow,Option A: {A}. Option B: {B}. Selected:
yellow,purple,yellow,Option A: {A}. Option B: {B}. Selected:
purple,red,red,Option A: {A}. Option B: {B}. Selected:
purple,blue,blue,Option A: {A}. Option B: {B}. Selected:
purple,green,green,Option A: {A}. Option B: {B}. Selected:
purple,yellow,yellow,Option A: {A}. Option B: {B}. Selected:
red,blue,red,Choice: {A} or {B}? Answer:
red,green,green,Choice: {A} or {B}? Answer:
red,yellow,yellow,Choice: {A} or {B}? Answer:
red,purple,red,Choice: {A} or {B}? Answer:
blue,red,blue,Choice: {A} or {B}? Answer:
blue,green,green,Choice: {A} or {B}? Answer:
blue,yellow,blue,Choice: {A} or {B}? Answer:
blue,purple,blue,Choice: {A} or {B}? Answer:
green,red,green,Choice: {A} or {B}? Answer:
green,blue,green,Choice: {A} or {B}? Answer:
green,yellow,green,Choice: {A} or {B}? Answer:
green,purple,green,Choice: {A} or {B}? Answer:
yellow,red,yellow,Choice: {A} or {B}? Answer:
yellow,blue,yellow,Choice: {A} or {B}? Answer:
yellow,green,yellow,Choice: {A} or {B}? Answer:
yellow,purple,yellow,Choice: {A} or {B}? Answer:
purple,red,purple,Choice: {A} or {B}? Answer:
purple,blue,blue,Choice: {A} or {B}? Answer:
purple,green,purple,Choice: {A} or {B}? Answer:
purple,yellow,yellow,Choice: {A} or {B}? Answer:
red,blue,blue,"Pick one: {A}, {B}. Result:"
red,green,green,"Pick one: {A}, {B}. Result:"
red,yellow,red,"Pick one: {A}, {B}. Result:"
red,purple,purple,"Pick one: {A}, {B}. Result:"
blue,red,blue,"Pick one: {A}, {B}. Result:"
blue,green,blue,"Pick one: {A}, {B}. Result:"
blue,yellow,blue,"Pick one: {A}, {B}. Result:"
blue,purple,purple,"Pick one: {A}, {B}. Result:"
green,red,green,"Pick one: {A}, {B}. Result:"
green,blue,blue,"Pick one: {A}, {B}. Result:"
green,yellow,green,"Pick one: {A}, {B}. Result:"
green,purple,green,"Pick one: {A}, {B}. Result:"
yellow,red,red,"Pick one: {A}, {B}. Result:"
yellow,blue,blue,"Pick one: {A}, {B}. Result:"
yellow,green,yellow,"Pick one: {A}, {B}. Result:"
yellow,purple,yellow,"Pick one: {A}, {B}. Result:"
purple,red,red,"Pick one: {A}, {B}. Result:"
purple,blue,blue,"Pick one: {A}, {B}. Result:"
purple,green,green,"Pick one: {A}, {B}. Result:"
purple,yellow,yellow,"Pick one: {A}, {B}. Result:"
red,blue,red,"Candidates: {A}, {B}. Chosen:"
red,green,green,"Candidates: {A}, {B}. Chosen:"
red,yellow,red,"Candidates: {A}, {B}. Chosen:"
red,purple,red,"Candidates: {A}, {B}. Chosen:"
blue,red,red,"Candidates: {A}, {B}. Chosen:"
blue,green,green,"Candidates: {A}, {B}. Chosen:"
blue,yellow,blue,"Candidates: {A}, {B}. Chosen:"
blue,purple,purple,"Candidates: {A}, {B}. Chosen:"
green,red,green,"Candidates: {A}, {B}. Chosen:"
green,blue,green,"Candidates: {A}, {B}. Chosen:"
green,yellow,green,"Candidates: {A}, {B}. Chosen:"
green,purple,green,"Candidates: {A}, {B}. Chosen:"
yellow,red,red,"Candidates: {A}, {B}. Chosen:"
yellow,blue,yellow,"Candidates: {A}, {B}. Chosen:"
yellow,green,green,"Candidates: {A}, {B}. Chosen:"
yellow,purple,purple,"Candidates: {A}, {B}. Chosen:"
purple,red,red,"Candidates: {A}, {B}. Chosen:"
purple,blue,purple,"Candidates: {A}, {B}. Chosen:"
purple,green,green,"Candidates: {A}, {B}. Chosen:"
purple,yellow,purple,"Candidates: {A}, {B}. Chosen:"
red,blue,red,Task: Select {A} or {B}. Output:
red,green,red,Task: Select {A} or {B}. Output:
red,yellow,red,Task: Select {A} or {B}. Output:
red,purple,red,Task: Select {A} or {B}. Output:
blue,red,blue,Task: Select {A} or {B}. Output:
blue,green,blue,Task: Select {A} or {B}. Output:
blue,yellow,blue,Task: Select {A} or {B}. Output:
blue,purple,blue,Task: Select {A} or {B}. Output:
green,red,green,Task: Select {A} or {B}. Output:
green,blue,green,Task: Select {A} or {B}. Output:
green,yellow,green,Task: Select {A} or {B}. Output:
green,purple,green,Task: Select {A} or {B}. Output:
yellow,red,yellow,Task: Select {A} or {B}. Output:
yellow,blue,yellow,Task: Select {A} or {B}. Output:
yellow,green,yellow,Task: Select {A} or {B}. Output:
yellow,purple,yellow,Task: Select {A} or {B}. Output:
purple,red,purple,Task: Select {A} or {B}. Output:
purple,blue,blue,Task: Select {A} or {B}. Output:
purple,green,purple,Task: Select {A} or {B}. Output:
purple,yellow,purple,Task: Select {A} or {B}. Output:
red,blue,red,Please choose between {A} and {B}. Choice:
red,green,red,Please choose between {A} and {B}. Choice:
red,yellow,red,Please choose between {A} and {B}. Choice:
red,purple,red,Please choose between {A} and {B}. Choice:
blue,red,blue,Please choose between {A} and {B}. Choice:
blue,green,blue,Please choose between {A} and {B}. Choice:
blue,yellow,blue,Please choose between {A} and {B}. Choice:
blue,purple,blue,Please choose between {A} and {B}. Choice:
green,red,green,Please choose between {A} and {B}. Choice:
green,blue,green,Please choose between {A} and {B}. Choice:
green,yellow,green,Please choose between {A} and {B}. Choice:
green,purple,green,Please choose between {A} and {B}. Choice:
yellow,red,yellow,Please choose between {A} and {B}. Choice:
yellow,blue,yellow,Please choose between {A} and {B}. Choice:
yellow,green,green,Please choose between {A} and {B}. Choice:
yellow,purple,yellow,Please choose between {A} and {B}. Choice:
purple,red,red,Please choose between {A} and {B}. Choice:
purple,blue,purple,Please choose between {A} and {B}. Choice:
purple,green,purple,Please choose between {A} and {B}. Choice:
purple,yellow,purple,Please choose between {A} and {B}. Choice:
red,blue,red,A or B? {A} vs {B} ->
red,green,red,A or B? {A} vs {B} ->
red,yellow,red,A or B? {A} vs {B} ->
red,purple,red,A or B? {A} vs {B} ->
blue,red,blue,A or B? {A} vs {B} ->
blue,green,blue,A or B? {A} vs {B} ->
blue,yellow,blue,A or B? {A} vs {B} ->
blue,purple,blue,A or B? {A} vs {B} ->
green,red,green,A or B? {A} vs {B} ->
green,blue,green,A or B? {A} vs {B} ->
green,yellow,green,A or B? {A} vs {B} ->
green,purple,green,A or B? {A} vs {B} ->
yellow,red,yellow,A or B? {A} vs {B} ->
yellow,blue,yellow,A or B? {A} vs {B} ->
yellow,green,yellow,A or B? {A} vs {B} ->
yellow,purple,yellow,A or B? {A} vs {B} ->
purple,red,purple,A or B? {A} vs {B} ->
purple,blue,purple,A or B? {A} vs {B} ->
purple,green,purple,A or B? {A} vs {B} ->
purple,yellow,purple,A or B? {A} vs {B} ->
red,blue,red,Which is preferred: {A} or {B}? Answer:
red,green,red,Which is preferred: {A} or {B}? Answer:
red,yellow,red,Which is preferred: {A} or {B}? Answer:
red,purple,purple,Which is preferred: {A} or {B}? Answer:
blue,red,blue,Which is preferred: {A} or {B}? Answer:
blue,green,green,Which is preferred: {A} or {B}? Answer:
blue,yellow,yellow,Which is preferred: {A} or {B}? Answer:
blue,purple,purple,Which is preferred: {A} or {B}? Answer:
green,red,red,Which is preferred: {A} or {B}? Answer:
green,blue,green,Which is preferred: {A} or {B}? Answer:
green,yellow,yellow,Which is preferred: {A} or {B}? Answer:
green,purple,purple,Which is preferred: {A} or {B}? Answer:
yellow,red,red,Which is preferred: {A} or {B}? Answer:
yellow,blue,yellow,Which is preferred: {A} or {B}? Answer:
yellow,green,yellow,Which is preferred: {A} or {B}? Answer:
yellow,purple,yellow,Which is preferred: {A} or {B}? Answer:
purple,red,purple,Which is preferred: {A} or {B}? Answer:
purple,blue,purple,Which is preferred: {A} or {B}? Answer:
purple,green,purple,Which is preferred: {A} or {B}? Answer:
purple,yellow,yellow,Which is preferred: {A} or {B}? Answer:
red,blue,red,Vote: {A} or {B}. Result:
red,green,red,Vote: {A} or {B}. Result:
red,yellow,red,Vote: {A} or {B}. Result:
red,purple,red,Vote: {A} or {B}. Result:
blue,red,blue,Vote: {A} or {B}. Result:
blue,green,blue,Vote: {A} or {B}. Result:
blue,yellow,blue,Vote: {A} or {B}. Result:
blue,purple,blue,Vote: {A} or {B}. Result:
green,red,green,Vote: {A} or {B}. Result:
green,blue,green,Vote: {A} or {B}. Result:
green,yellow,green,Vote: {A} or {B}. Result:
green,purple,green,Vote: {A} or {B}. Result:
yellow,red,yellow,Vote: {A} or {B}. Result:
yellow,blue,yellow,Vote: {A} or {B}. Result:
yellow,green,yellow,Vote: {A} or {B}. Result:
yellow,purple,yellow,Vote: {A} or {B}. Result:
purple,red,purple,Vote: {A} or {B}. Result:
purple,blue,purple,Vote: {A} or {B}. Result:
purple,green,purple,Vote: {A} or {B}. Result:
purple,yellow,purple,Vote: {A} or {B}. Result:
red,blue,red,{A} / {B}. Selection:
red,green,red,{A} / {B}. Selection:
red,yellow,red,{A} / {B}. Selection:
red,purple,red,{A} / {B}. Selection:
blue,red,blue,{A} / {B}. Selection:
blue,green,blue,{A} / {B}. Selection:
blue,yellow,blue,{A} / {B}. Selection:
blue,purple,blue,{A} / {B}. Selection:
green,red,green,{A} / {B}. Selection:
green,blue,green,{A} / {B}. Selection:
green,yellow,green,{A} / {B}. Selection:
green,purple,green,{A} / {B}. Selection:
yellow,red,yellow,{A} / {B}. Selection:
yellow,blue,yellow,{A} / {B}. Selection:
yellow,green,yellow,{A} / {B}. Selection:
yellow,purple,yellow,{A} / {B}. Selection:
purple,red,red,{A} / {B}. Selection:
purple,blue,purple,{A} / {B}. Selection:
purple,green,purple,{A} / {B}. Selection:
purple,yellow,purple,{A} / {B}. Selection:
red,blue,red,Name: {A}. Name: {B}. Preferred:
red,green,red,Name: {A}. Name: {B}. Preferred:
red,yellow,red,Name: {A}. Name: {B}. Preferred:
red,purple,red,Name: {A}. Name: {B}. Preferred:
blue,red,red,Name: {A}. Name: {B}. Preferred:
blue,green,blue,Name: {A}. Name: {B}. Preferred:
blue,yellow,blue,Name: {A}. Name: {B}. Preferred:
blue,purple,blue,Name: {A}. Name: {B}. Preferred:
green,red,red,Name: {A}. Name: {B}. Preferred:
green,blue,green,Name: {A}. Name: {B}. Preferred:
green,yellow,green,Name: {A}. Name: {B}. Preferred:
green,purple,green,Name: {A}. Name: {B}. Preferred:
yellow,red,red,Name: {A}. Name: {B}. Preferred:
yellow,blue,blue,Name: {A}. Name: {B}. Preferred:
yellow,green,green,Name: {A}. Name: {B}. Preferred:
yellow,purple,purple,Name: {A}. Name: {B}. Preferred:
purple,red,red,Name: {A}. Name: {B}. Preferred:
purple,blue,blue,Name: {A}. Name: {B}. Preferred:
purple,green,green,Name: {A}. Name: {B}. Preferred:
purple,yellow,purple,Name: {A}. Name: {B}. Preferred:
red,blue,red,"Item 1: {A}
Item 2: {B}
Selection:"
red,green,red,"Item 1: {A}
Item 2: {B}
Selection:"
red,yellow,red,"Item 1: {A}
Item 2: {B}
Selection:"
red,purple,purple,"Item 1: {A}
Item 2: {B}
Selection:"
blue,red,red,"Item 1: {A}
Item 2: {B}
Selection:"
blue,green,green,"Item 1: {A}
Item 2: {B}
Selection:"
blue,yellow,blue,"Item 1: {A}
Item 2: {B}
Selection:"
blue,purple,blue,"Item 1: {A}
Item 2: {B}
Selection:"
green,red,red,"Item 1: {A}
Item 2: {B}
Selection:"
green,blue,blue,"Item 1: {A}
Item 2: {B}
Selection:"
green,yellow,green,"Item 1: {A}
Item 2: {B}
Selection:"
green,purple,purple,"Item 1: {A}
Item 2: {B}
Selection:"
yellow,red,red,"Item 1: {A}
Item 2: {B}
Selection:"
yellow,blue,blue,"Item 1: {A}
Item 2: {B}
Selection:"
yellow,green,green,"Item 1: {A}
Item 2: {B}
Selection:"
yellow,purple,purple,"Item 1: {A}
Item 2: {B}
Selection:"
purple,red,red,"Item 1: {A}
Item 2: {B}
Selection:"
purple,blue,blue,"Item 1: {A}
Item 2: {B}
Selection:"
purple,green,green,"Item 1: {A}
Item 2: {B}
Selection:"
purple,yellow,yellow,"Item 1: {A}
Item 2: {B}
Selection:"
red,blue,red,"Input: [{A}, {B}]
Output:"
red,green,red,"Input: [{A}, {B}]
Output:"
red,yellow,red,"Input: [{A}, {B}]
Output:"
red,purple,red,"Input: [{A}, {B}]
Output:"
blue,red,red,"Input: [{A}, {B}]
Output:"
blue,green,blue,"Input: [{A}, {B}]
Output:"
blue,yellow,blue,"Input: [{A}, {B}]
Output:"
blue,purple,blue,"Input: [{A}, {B}]
Output:"
green,red,green,"Input: [{A}, {B}]
Output:"
green,blue,green,"Input: [{A}, {B}]
Output:"
green,yellow,green,"Input: [{A}, {B}]
Output:"
green,purple,green,"Input: [{A}, {B}]
Output:"
yellow,red,yellow,"Input: [{A}, {B}]
Output:"
yellow,blue,yellow,"Input: [{A}, {B}]
Output:"
yellow,green,yellow,"Input: [{A}, {B}]
Output:"
yellow,purple,yellow,"Input: [{A}, {B}]
Output:"
purple,red,purple,"Input: [{A}, {B}]
Output:"
purple,blue,purple,"Input: [{A}, {B}]
Output:"
purple,green,purple,"Input: [{A}, {B}]
Output:"
purple,yellow,purple,"Input: [{A}, {B}]
Output:"
red,blue,red,"Color_1 = {A}
Color_2 = {B}
Selected_Color ="
red,green,red,"Color_1 = {A}
Color_2 = {B}
Selected_Color ="
red,yellow,red,"Color_1 = {A}
Color_2 = {B}
Selected_Color ="
red,purple,purple,"Color_1 = {A}
Color_2 = {B}
Selected_Color ="
blue,red,blue,"Color_1 = {A}
Color_2 = {B}
Selected_Color ="
blue,green,blue,"Color_1 = {A}
Color_2 = {B}
Selected_Color ="
blue,yellow,blue,"Color_1 = {A}
Color_2 = {B}
Selected_Color ="
blue,purple,purple,"Color_1 = {A}
Color_2 = {B}
Selected_Color ="
green,red,green,"Color_1 = {A}
Color_2 = {B}
Selected_Color ="
green,blue,green,"Color_1 = {A}
Color_2 = {B}
Selected_Color ="
green,yellow,green,"Color_1 = {A}
Color_2 = {B}
Selected_Color ="
green,purple,green,"Color_1 = {A}
Color_2 = {B}
Selected_Color ="
yellow,red,yellow,"Color_1 = {A}
Color_2 = {B}
Selected_Color ="
yellow,blue,yellow,"Color_1 = {A}
Color_2 = {B}
Selected_Color ="
yellow,green,yellow,"Color_1 = {A}
Color_2 = {B}
Selected_Color ="
yellow,purple,yellow,"Color_1 = {A}
Color_2 = {B}
Selected_Color ="
purple,red,purple,"Color_1 = {A}
Color_2 = {B}
Selected_Color ="
purple,blue,purple,"Color_1 = {A}
Color_2 = {B}
Selected_Color ="
purple,green,purple,"Color_1 = {A}
Color_2 = {B}
Selected_Color ="
purple,yellow,purple,"Color_1 = {A}
Color_2 = {B}
Selected_Color ="
red,blue,red,"Dataset: {A}, {B}. Filtered:"
red,green,red,"Dataset: {A}, {B}. Filtered:"
red,yellow,red,"Dataset: {A}, {B}. Filtered:"
red,purple,red,"Dataset: {A}, {B}. Filtered:"
blue,red,red,"Dataset: {A}, {B}. Filtered:"
blue,green,blue,"Dataset: {A}, {B}. Filtered:"
blue,yellow,blue,"Dataset: {A}, {B}. Filtered:"
blue,purple,blue,"Dataset: {A}, {B}. Filtered:"
green,red,green,"Dataset: {A}, {B}. Filtered:"
green,blue,green,"Dataset: {A}, {B}. Filtered:"
green,yellow,green,"Dataset: {A}, {B}. Filtered:"
green,purple,green,"Dataset: {A}, {B}. Filtered:"
yellow,red,red,"Dataset: {A}, {B}. Filtered:"
yellow,blue,yellow,"Dataset: {A}, {B}. Filtered:"
yellow,green,green,"Dataset: {A}, {B}. Filtered:"
yellow,purple,yellow,"Dataset: {A}, {B}. Filtered:"
purple,red,red,"Dataset: {A}, {B}. Filtered:"
purple,blue,blue,"Dataset: {A}, {B}. Filtered:"
purple,green,green,"Dataset: {A}, {B}. Filtered:"
purple,yellow,yellow,"Dataset: {A}, {B}. Filtered:"
red,blue,red,"[ {A}, {B} ] Selected index:"
red,green,red,"[ {A}, {B} ] Selected index:"
red,yellow,red,"[ {A}, {B} ] Selected index:"
red,purple,red,"[ {A}, {B} ] Selected index:"
blue,red,blue,"[ {A}, {B} ] Selected index:"
blue,green,green,"[ {A}, {B} ] Selected index:"
blue,yellow,blue,"[ {A}, {B} ] Selected index:"
blue,purple,blue,"[ {A}, {B} ] Selected index:"
green,red,green,"[ {A}, {B} ] Selected index:"
green,blue,blue,"[ {A}, {B} ] Selected index:"
green,yellow,green,"[ {A}, {B} ] Selected index:"
green,purple,green,"[ {A}, {B} ] Selected index:"
yellow,red,yellow,"[ {A}, {B} ] Selected index:"
yellow,blue,blue,"[ {A}, {B} ] Selected index:"
yellow,green,green,"[ {A}, {B} ] Selected index:"
yellow,purple,yellow,"[ {A}, {B} ] Selected index:"
purple,red,red,"[ {A}, {B} ] Selected index:"
purple,blue,blue,"[ {A}, {B} ] Selected index:"
purple,green,purple,"[ {A}, {B} ] Selected index:"
purple,yellow,purple,"[ {A}, {B} ] Selected index:"
red,blue,red,"List: {A}, {B}. Top item:"
red,green,red,"List: {A}, {B}. Top item:"
red,yellow,red,"List: {A}, {B}. Top item:"
red,purple,red,"List: {A}, {B}. Top item:"
blue,red,blue,"List: {A}, {B}. Top item:"
blue,green,blue,"List: {A}, {B}. Top item:"
blue,yellow,blue,"List: {A}, {B}. Top item:"
blue,purple,blue,"List: {A}, {B}. Top item:"
green,red,green,"List: {A}, {B}. Top item:"
green,blue,green,"List: {A}, {B}. Top item:"
green,yellow,green,"List: {A}, {B}. Top item:"
green,purple,green,"List: {A}, {B}. Top item:"
yellow,red,yellow,"List: {A}, {B}. Top item:"
yellow,blue,yellow,"List: {A}, {B}. Top item:"
yellow,green,yellow,"List: {A}, {B}. Top item:"
yellow,purple,yellow,"List: {A}, {B}. Top item:"
purple,red,purple,"List: {A}, {B}. Top item:"
purple,blue,purple,"List: {A}, {B}. Top item:"
purple,green,purple,"List: {A}, {B}. Top item:"
purple,yellow,purple,"List: {A}, {B}. Top item:"
red,blue,red,"Category: Colors.
Options: {A}, {B}.
Pick:"
red,green,green,"Category: Colors.
Options: {A}, {B}.
Pick:"
red,yellow,red,"Category: Colors.
Options: {A}, {B}.
Pick:"
red,purple,purple,"Category: Colors.
Options: {A}, {B}.
Pick:"
blue,red,red,"Category: Colors.
Options: {A}, {B}.
Pick:"
blue,green,green,"Category: Colors.
Options: {A}, {B}.
Pick:"
blue,yellow,yellow,"Category: Colors.
Options: {A}, {B}.
Pick:"
blue,purple,purple,"Category: Colors.
Options: {A}, {B}.
Pick:"
green,red,red,"Category: Colors.
Options: {A}, {B}.
Pick:"
green,blue,blue,"Category: Colors.
Options: {A}, {B}.
Pick:"
green,yellow,yellow,"Category: Colors.
Options: {A}, {B}.
Pick:"
green,purple,purple,"Category: Colors.
Options: {A}, {B}.
Pick:"
yellow,red,red,"Category: Colors.
Options: {A}, {B}.
Pick:"
yellow,blue,blue,"Category: Colors.
Options: {A}, {B}.
Pick:"
yellow,green,green,"Category: Colors.
Options: {A}, {B}.
Pick:"
yellow,purple,purple,"Category: Colors.
Options: {A}, {B}.
Pick:"
purple,red,red,"Category: Colors.
Options: {A}, {B}.
Pick:"
purple,blue,blue,"Category: Colors.
Options: {A}, {B}.
Pick:"
purple,green,green,"Category: Colors.
Options: {A}, {B}.
Pick:"
purple,yellow,yellow,"Category: Colors.
Options: {A}, {B}.
Pick:"
red,blue,red,"Type: Color
Option A: {A}
Option B: {B}
Select:"
red,green,red,"Type: Color
Option A: {A}
Option B: {B}
Select:"
red,yellow,red,"Type: Color
Option A: {A}
Option B: {B}
Select:"
red,purple,red,"Type: Color
Option A: {A}
Option B: {B}
Select:"
blue,red,blue,"Type: Color
Option A: {A}
Option B: {B}
Select:"
blue,green,blue,"Type: Color
Option A: {A}
Option B: {B}
Select:"
blue,yellow,blue,"Type: Color
Option A: {A}
Option B: {B}
Select:"
blue,purple,blue,"Type: Color
Option A: {A}
Option B: {B}
Select:"
green,red,red,"Type: Color
Option A: {A}
Option B: {B}
Select:"
green,blue,green,"Type: Color
Option A: {A}
Option B: {B}
Select:"
green,yellow,green,"Type: Color
Option A: {A}
Option B: {B}
Select:"
green,purple,green,"Type: Color
Option A: {A}
Option B: {B}
Select:"
yellow,red,red,"Type: Color
Option A: {A}
Option B: {B}
Select:"
yellow,blue,yellow,"Type: Color
Option A: {A}
Option B: {B}
Select:"
yellow,green,yellow,"Type: Color
Option A: {A}
Option B: {B}
Select:"
yellow,purple,yellow,"Type: Color
Option A: {A}
Option B: {B}
Select:"
purple,red,red,"Type: Color
Option A: {A}
Option B: {B}
Select:"
purple,blue,purple,"Type: Color
Option A: {A}
Option B: {B}
Select:"
purple,green,purple,"Type: Color
Option A: {A}
Option B: {B}
Select:"
purple,yellow,purple,"Type: Color
Option A: {A}
Option B: {B}
Select:"
red,blue,red,Log: User viewed {A} and {B}. User chose
red,green,red,Log: User viewed {A} and {B}. User chose
red,yellow,yellow,Log: User viewed {A} and {B}. User chose
red,purple,purple,Log: User viewed {A} and {B}. User chose
blue,red,blue,Log: User viewed {A} and {B}. User chose
blue,green,blue,Log: User viewed {A} and {B}. User chose
blue,yellow,blue,Log: User viewed {A} and {B}. User chose
blue,purple,blue,Log: User viewed {A} and {B}. User chose
green,red,green,Log: User viewed {A} and {B}. User chose
green,blue,blue,Log: User viewed {A} and {B}. User chose
green,yellow,green,Log: User viewed {A} and {B}. User chose
green,purple,purple,Log: User viewed {A} and {B}. User chose
yellow,red,yellow,Log: User viewed {A} and {B}. User chose
yellow,blue,yellow,Log: User viewed {A} and {B}. User chose
yellow,green,yellow,Log: User viewed {A} and {B}. User chose
yellow,purple,yellow,Log: User viewed {A} and {B}. User chose
purple,red,purple,Log: User viewed {A} and {B}. User chose
purple,blue,purple,Log: User viewed {A} and {B}. User chose
purple,green,purple,Log: User viewed {A} and {B}. User chose
purple,yellow,yellow,Log: User viewed {A} and {B}. User chose
red,blue,red,"const options = ['{A}', '{B}']; const selected ="
red,green,red,"const options = ['{A}', '{B}']; const selected ="
red,yellow,red,"const options = ['{A}', '{B}']; const selected ="
red,purple,red,"const options = ['{A}', '{B}']; const selected ="
blue,red,blue,"const options = ['{A}', '{B}']; const selected ="
blue,green,blue,"const options = ['{A}', '{B}']; const selected ="
blue,yellow,blue,"const options = ['{A}', '{B}']; const selected ="
blue,purple,blue,"const options = ['{A}', '{B}']; const selected ="
green,red,green,"const options = ['{A}', '{B}']; const selected ="
green,blue,green,"const options = ['{A}', '{B}']; const selected ="
green,yellow,green,"const options = ['{A}', '{B}']; const selected ="
green,purple,green,"const options = ['{A}', '{B}']; const selected ="
yellow,red,yellow,"const options = ['{A}', '{B}']; const selected ="
yellow,blue,yellow,"const options = ['{A}', '{B}']; const selected ="
yellow,green,yellow,"const options = ['{A}', '{B}']; const selected ="
yellow,purple,yellow,"const options = ['{A}', '{B}']; const selected ="
purple,red,red,"const options = ['{A}', '{B}']; const selected ="
purple,blue,blue,"const options = ['{A}', '{B}']; const selected ="
purple,green,green,"const options = ['{A}', '{B}']; const selected ="
purple,yellow,yellow,"const options = ['{A}', '{B}']; const selected ="
red,blue,red,if (choice == '{A}' || choice == '{B}') return
red,green,red,if (choice == '{A}' || choice == '{B}') return
red,yellow,red,if (choice == '{A}' || choice == '{B}') return
red,purple,red,if (choice == '{A}' || choice == '{B}') return
blue,red,blue,if (choice == '{A}' || choice == '{B}') return
blue,green,blue,if (choice == '{A}' || choice == '{B}') return
blue,yellow,blue,if (choice == '{A}' || choice == '{B}') return
blue,purple,blue,if (choice == '{A}' || choice == '{B}') return
green,red,green,if (choice == '{A}' || choice == '{B}') return
green,blue,green,if (choice == '{A}' || choice == '{B}') return
green,yellow,green,if (choice == '{A}' || choice == '{B}') return
green,purple,green,if (choice == '{A}' || choice == '{B}') return
yellow,red,yellow,if (choice == '{A}' || choice == '{B}') return
yellow,blue,yellow,if (choice == '{A}' || choice == '{B}') return
yellow,green,yellow,if (choice == '{A}' || choice == '{B}') return
yellow,purple,yellow,if (choice == '{A}' || choice == '{B}') return
purple,red,purple,if (choice == '{A}' || choice == '{B}') return
purple,blue,purple,if (choice == '{A}' || choice == '{B}') return
purple,green,purple,if (choice == '{A}' || choice == '{B}') return
purple,yellow,purple,if (choice == '{A}' || choice == '{B}') return
red,blue,red,">>> select('{A}', '{B}')
"
red,green,red,">>> select('{A}', '{B}')
"
red,yellow,red,">>> select('{A}', '{B}')
"
red,purple,red,">>> select('{A}', '{B}')
"
blue,red,blue,">>> select('{A}', '{B}')
"
blue,green,blue,">>> select('{A}', '{B}')
"
blue,yellow,blue,">>> select('{A}', '{B}')
"
blue,purple,blue,">>> select('{A}', '{B}')
"
green,red,green,">>> select('{A}', '{B}')
"
green,blue,green,">>> select('{A}', '{B}')
"
green,yellow,green,">>> select('{A}', '{B}')
"
green,purple,green,">>> select('{A}', '{B}')
"
yellow,red,yellow,">>> select('{A}', '{B}')
"
yellow,blue,yellow,">>> select('{A}', '{B}')
"
yellow,green,yellow,">>> select('{A}', '{B}')
"
yellow,purple,yellow,">>> select('{A}', '{B}')
"
purple,red,purple,">>> select('{A}', '{B}')
"
purple,blue,purple,">>> select('{A}', '{B}')
"
purple,green,purple,">>> select('{A}', '{B}')
"
purple,yellow,purple,">>> select('{A}', '{B}')
"
red,blue,red,switch(color) {{ case '{A}': ...; case '{B}': ...; }} picked:
red,green,red,switch(color) {{ case '{A}': ...; case '{B}': ...; }} picked:
red,yellow,red,switch(color) {{ case '{A}': ...; case '{B}': ...; }} picked:
red,purple,red,switch(color) {{ case '{A}': ...; case '{B}': ...; }} picked:
blue,red,blue,switch(color) {{ case '{A}': ...; case '{B}': ...; }} picked:
blue,green,blue,switch(color) {{ case '{A}': ...; case '{B}': ...; }} picked:
blue,yellow,blue,switch(color) {{ case '{A}': ...; case '{B}': ...; }} picked:
blue,purple,blue,switch(color) {{ case '{A}': ...; case '{B}': ...; }} picked:
green,red,green,switch(color) {{ case '{A}': ...; case '{B}': ...; }} picked:
green,blue,green,switch(color) {{ case '{A}': ...; case '{B}': ...; }} picked:
green,yellow,green,switch(color) {{ case '{A}': ...; case '{B}': ...; }} picked:
green,purple,green,switch(color) {{ case '{A}': ...; case '{B}': ...; }} picked:
yellow,red,yellow,switch(color) {{ case '{A}': ...; case '{B}': ...; }} picked:
yellow,blue,yellow,switch(color) {{ case '{A}': ...; case '{B}': ...; }} picked:
yellow,green,yellow,switch(color) {{ case '{A}': ...; case '{B}': ...; }} picked:
yellow,purple,yellow,switch(color) {{ case '{A}': ...; case '{B}': ...; }} picked:
