player_1,player_2,winner,template
Rojo,Azul,Azul,Opción A: {A}. Opción B: {B}. Seleccionado:
Rojo,Verde,Rojo,Opción A: {A}. Opción B: {B}. Seleccionado:
Rojo,Amarillo,Amarillo,Opción A: {A}. Opción B: {B}. Seleccionado:
Rojo,Morado,Rojo,Opción A: {A}. Opción B: {B}. Seleccionado:
Azul,Rojo,Azul,Opción A: {A}. Opción B: {B}. Seleccionado:
Azul,Verde,Azul,Opción A: {A}. Opción B: {B}. Seleccionado:
Azul,Amarillo,Azul,Opción A: {A}. Opción B: {B}. Seleccionado:
Azul,Morado,Azul,Opción A: {A}. Opción B: {B}. Seleccionado:
Verde,Rojo,Verde,Opción A: {A}. Opción B: {B}. Seleccionado:
Verde,Azul,Verde,Opción A: {A}. Opción B: {B}. Seleccionado:
Verde,Amarillo,Amarillo,Opción A: {A}. Opción B: {B}. Seleccionado:
Verde,Morado,Verde,Opción A: {A}. Opción B: {B}. Seleccionado:
Amarillo,Rojo,Amarillo,Opción A: {A}. Opción B: {B}. Seleccionado:
Amarillo,Azul,Amarillo,Opción A: {A}. Opción B: {B}. Seleccionado:
Amarillo,Verde,Amarillo,Opción A: {A}. Opción B: {B}. Seleccionado:
Amarillo,Morado,Amarillo,Opción A: {A}. Opción B: {B}. Seleccionado:
Morado,Rojo,Morado,Opción A: {A}. Opción B: {B}. Seleccionado:
Morado,Azul,Azul,Opción A: {A}. Opción B: {B}. Seleccionado:
Morado,Verde,Verde,Opción A: {A}. Opción B: {B}. Seleccionado:
Morado,Amarillo,Amarillo,Opción A: {A}. Opción B: {B}. Seleccionado:
Rojo,Azul,Rojo,Elección: ¿{A} o {B}? Respuesta:
Rojo,Verde,Rojo,Elección: ¿{A} o {B}? Respuesta:
Rojo,Amarillo,Rojo,Elección: ¿{A} o {B}? Respuesta:
Rojo,Morado,Rojo,Elección: ¿{A} o {B}? Respuesta:
Azul,Rojo,Rojo,Elección: ¿{A} o {B}? Respuesta:
Azul,Verde,Verde,Elección: ¿{A} o {B}? Respuesta:
Azul,Amarillo,Amarillo,Elección: ¿{A} o {B}? Respuesta:
Azul,Morado,Azul,Elección: ¿{A} o {B}? Respuesta:
Verde,Rojo,Rojo,Elección: ¿{A} o {B}? Respuesta:
Verde,Azul,Verde,Elección: ¿{A} o {B}? Respuesta:
Verde,Amarillo,Verde,Elección: ¿{A} o {B}? Respuesta:
Verde,Morado,Verde,Elección: ¿{A} o {B}? Respuesta:
Amarillo,Rojo,Rojo,Elección: ¿{A} o {B}? Respuesta:
Amarillo,Azul,Azul,Elección: ¿{A} o {B}? Respuesta:
Amarillo,Verde,Verde,Elección: ¿{A} o {B}? Respuesta:
Amarillo,Morado,Morado,Elección: ¿{A} o {B}? Respuesta:
Morado,Rojo,Rojo,Elección: ¿{A} o {B}? Respuesta:
Morado,Azul,Azul,Elección: ¿{A} o {B}? Respuesta:
Morado,Verde,Verde,Elección: ¿{A} o {B}? Respuesta:
Morado,Amarillo,Amarillo,Elección: ¿{A} o {B}? Respuesta:
Rojo,Azul,Rojo,"Elige uno: {A}, {B}. Resultado:"
Rojo,Verde,Rojo,"Elige uno: {A}, {B}. Resultado:"
Rojo,Amarillo,Amarillo,"Elige uno: {A}, {B}. Resultado:"
Rojo,Morado,Rojo,"Elige uno: {A}, {B}. Resultado:"
Azul,Rojo,Azul,"Elige uno: {A}, {B}. Resultado:"
Azul,Verde,Azul,"Elige uno: {A}, {B}. Resultado:"
Azul,Amarillo,Azul,"Elige uno: {A}, {B}. Resultado:"
Azul,Morado,Azul,"Elige uno: {A}, {B}. Resultado:"
Verde,Rojo,Verde,"Elige uno: {A}, {B}. Resultado:"
Verde,Azul,Verde,"Elige uno: {A}, {B}. Resultado:"
Verde,Amarillo,Amarillo,"Elige uno: {A}, {B}. Resultado:"
Verde,Morado,Verde,"Elige uno: {A}, {B}. Resultado:"
Amarillo,Rojo,Amarillo,"Elige uno: {A}, {B}. Resultado:"
Amarillo,Azul,Amarillo,"Elige uno: {A}, {B}. Resultado:"
Amarillo,Verde,Amarillo,"Elige uno: {A}, {B}. Resultado:"
Amarillo,Morado,Amarillo,"Elige uno: {A}, {B}. Resultado:"
Morado,Rojo,Morado,"Elige uno: {A}, {B}. Resultado:"
Morado,Azul,Azul,"Elige uno: {A}, {B}. Resultado:"
Morado,Verde,Morado,"Elige uno: {A}, {B}. Resultado:"
Morado,Amarillo,Amarillo,"Elige uno: {A}, {B}. Resultado:"
Rojo,Azul,Rojo,"Candidatos: {A}, {B}. Elegido:"
Rojo,Verde,Rojo,"Candidatos: {A}, {B}. Elegido:"
Rojo,Amarillo,Rojo,"Candidatos: {A}, {B}. Elegido:"
Rojo,Morado,Rojo,"Candidatos: {A}, {B}. Elegido:"
Azul,Rojo,Azul,"Candidatos: {A}, {B}. Elegido:"
Azul,Verde,Azul,"Candidatos: {A}, {B}. Elegido:"
Azul,Amarillo,Azul,"Candidatos: {A}, {B}. Elegido:"
Azul,Morado,Azul,"Candidatos: {A}, {B}. Elegido:"
Verde,Rojo,Verde,"Candidatos: {A}, {B}. Elegido:"
Verde,Azul,Azul,"Candidatos: {A}, {B}. Elegido:"
Verde,Amarillo,Verde,"Candidatos: {A}, {B}. Elegido:"
Verde,Morado,Morado,"Candidatos: {A}, {B}. Elegido:"
Amarillo,Rojo,Amarillo,"Candidatos: {A}, {B}. Elegido:"
Amarillo,Azul,Azul,"Candidatos: {A}, {B}. Elegido:"
Amarillo,Verde,Amarillo,"Candidatos: {A}, {B}. Elegido:"
Amarillo,Morado,Morado,"Candidatos: {A}, {B}. Elegido:"
Morado,Rojo,Morado,"Candidatos: {A}, {B}. Elegido:"
Morado,Azul,Morado,"Candidatos: {A}, {B}. Elegido:"
Morado,Verde,Morado,"Candidatos: {A}, {B}. Elegido:"
Morado,Amarillo,Morado,"Candidatos: {A}, {B}. Elegido:"
Rojo,Azul,Rojo,Tarea: Selecciona {A} o {B}. Salida:
Rojo,Verde,Rojo,Tarea: Selecciona {A} o {B}. Salida:
Rojo,Amarillo,Rojo,Tarea: Selecciona {A} o {B}. Salida:
Rojo,Morado,Rojo,Tarea: Selecciona {A} o {B}. Salida:
Azul,Rojo,Azul,Tarea: Selecciona {A} o {B}. Salida:
Azul,Verde,Azul,Tarea: Selecciona {A} o {B}. Salida:
Azul,Amarillo,Azul,Tarea: Selecciona {A} o {B}. Salida:
Azul,Morado,Azul,Tarea: Selecciona {A} o {B}. Salida:
Verde,Rojo,Verde,Tarea: Selecciona {A} o {B}. Salida:
Verde,Azul,Verde,Tarea: Selecciona {A} o {B}. Salida:
Verde,Amarillo,Verde,Tarea: Selecciona {A} o {B}. Salida:
Verde,Morado,Verde,Tarea: Selecciona {A} o {B}. Salida:
Amarillo,Rojo,Amarillo,Tarea: Selecciona {A} o {B}. Salida:
Amarillo,Azul,Amarillo,Tarea: Selecciona {A} o {B}. Salida:
Amarillo,Verde,Amarillo,Tarea: Selecciona {A} o {B}. Salida:
Amarillo,Morado,Amarillo,Tarea: Selecciona {A} o {B}. Salida:
Morado,Rojo,Morado,Tarea: Selecciona {A} o {B}. Salida:
Morado,Azul,Morado,Tarea: Selecciona {A} o {B}. Salida:
Morado,Verde,Morado,Tarea: Selecciona {A} o {B}. Salida:
Morado,Amarillo,Morado,Tarea: Selecciona {A} o {B}. Salida:
Rojo,Azul,Rojo,Por favor elige entre {A} y {B}. Elección:
Rojo,Verde,Rojo,Por favor elige entre {A} y {B}. Elección:
Rojo,Amarillo,Amarillo,Por favor elige entre {A} y {B}. Elección:
Rojo,Morado,Rojo,Por favor elige entre {A} y {B}. Elección:
Azul,Rojo,Azul,Por favor elige entre {A} y {B}. Elección:
Azul,Verde,Azul,Por favor elige entre {A} y {B}. Elección:
Azul,Amarillo,Azul,Por favor elige entre {A} y {B}. Elección:
Azul,Morado,Azul,Por favor elige entre {A} y {B}. Elección:
Verde,Rojo,Verde,Por favor elige entre {A} y {B}. Elección:
Verde,Azul,Verde,Por favor elige entre {A} y {B}. Elección:
Verde,Amarillo,Verde,Por favor elige entre {A} y {B}. Elección:
Verde,Morado,Verde,Por favor elige entre {A} y {B}. Elección:
Amarillo,Rojo,Amarillo,Por favor elige entre {A} y {B}. Elección:
Amarillo,Azul,Amarillo,Por favor elige entre {A} y {B}. Elección:
Amarillo,Verde,Amarillo,Por favor elige entre {A} y {B}. Elección:
Amarillo,Morado,Amarillo,Por favor elige entre {A} y {B}. Elección:
Morado,Rojo,Morado,Por favor elige entre {A} y {B}. Elección:
Morado,Azul,Azul,Por favor elige entre {A} y {B}. Elección:
Morado,Verde,Verde,Por favor elige entre {A} y {B}. Elección:
Morado,Amarillo,Amarillo,Por favor elige entre {A} y {B}. Elección:
Rojo,Azul,Rojo,¿A o B? {A} vs {B} ->
Rojo,Verde,Rojo,¿A o B? {A} vs {B} ->
Rojo,Amarillo,Rojo,¿A o B? {A} vs {B} ->
Rojo,Morado,Rojo,¿A o B? {A} vs {B} ->
Azul,Rojo,Azul,¿A o B? {A} vs {B} ->
Azul,Verde,Azul,¿A o B? {A} vs {B} ->
Azul,Amarillo,Amarillo,¿A o B? {A} vs {B} ->
Azul,Morado,Azul,¿A o B? {A} vs {B} ->
Verde,Rojo,Rojo,¿A o B? {A} vs {B} ->
Verde,Azul,Azul,¿A o B? {A} vs {B} ->
Verde,Amarillo,Amarillo,¿A o B? {A} vs {B} ->
Verde,Morado,Morado,¿A o B? {A} vs {B} ->
Amarillo,Rojo,Amarillo,¿A o B? {A} vs {B} ->
Amarillo,Azul,Amarillo,¿A o B? {A} vs {B} ->
Amarillo,Verde,Amarillo,¿A o B? {A} vs {B} ->
Amarillo,Morado,Amarillo,¿A o B? {A} vs {B} ->
Morado,Rojo,Rojo,¿A o B? {A} vs {B} ->
Morado,Azul,Azul,¿A o B? {A} vs {B} ->
Morado,Verde,Morado,¿A o B? {A} vs {B} ->
Morado,Amarillo,Morado,¿A o B? {A} vs {B} ->
Rojo,Azul,Rojo,¿Cuál es preferido: {A} o {B}? Respuesta:
Rojo,Verde,Rojo,¿Cuál es preferido: {A} o {B}? Respuesta:
Rojo,Amarillo,Rojo,¿Cuál es preferido: {A} o {B}? Respuesta:
Rojo,Morado,Rojo,¿Cuál es preferido: {A} o {B}? Respuesta:
Azul,Rojo,Azul,¿Cuál es preferido: {A} o {B}? Respuesta:
Azul,Verde,Azul,¿Cuál es preferido: {A} o {B}? Respuesta:
Azul,Amarillo,Azul,¿Cuál es preferido: {A} o {B}? Respuesta:
Azul,Morado,Azul,¿Cuál es preferido: {A} o {B}? Respuesta:
Verde,Rojo,Verde,¿Cuál es preferido: {A} o {B}? Respuesta:
Verde,Azul,Verde,¿Cuál es preferido: {A} o {B}? Respuesta:
Verde,Amarillo,Verde,¿Cuál es preferido: {A} o {B}? Respuesta:
Verde,Morado,Verde,¿Cuál es preferido: {A} o {B}? Respuesta:
Amarillo,Rojo,Amarillo,¿Cuál es preferido: {A} o {B}? Respuesta:
Amarillo,Azul,Amarillo,¿Cuál es preferido: {A} o {B}? Respuesta:
Amarillo,Verde,Amarillo,¿Cuál es preferido: {A} o {B}? Respuesta:
Amarillo,Morado,Amarillo,¿Cuál es preferido: {A} o {B}? Respuesta:
Morado,Rojo,Morado,¿Cuál es preferido: {A} o {B}? Respuesta:
Morado,Azul,Morado,¿Cuál es preferido: {A} o {B}? Respuesta:
Morado,Verde,Morado,¿Cuál es preferido: {A} o {B}? Respuesta:
