item_a,item_b,prob_item_a,prob_item_b,winner,template
red,blue,0.2497851848602295,0.2648387551307678,blue,Option A: {A}. Option B: {B}. Selected:
red,green,0.25874823331832886,0.30607473850250244,green,Option A: {A}. Option B: {B}. Selected:
red,yellow,0.2833770513534546,0.23527586460113525,red,Option A: {A}. Option B: {B}. Selected:
red,purple,0.2830602526664734,0.26111549139022827,red,Option A: {A}. Option B: {B}. Selected:
blue,red,0.22031229734420776,0.23571091890335083,red,Option A: {A}. Option B: {B}. Selected:
blue,green,0.22931748628616333,0.26763296127319336,green,Option A: {A}. Option B: {B}. Selected:
blue,yellow,0.23960286378860474,0.20295864343643188,blue,Option A: {A}. Option B: {B}. Selected:
blue,purple,0.2348971962928772,0.25502145290374756,purple,Option A: {A}. Option B: {B}. Selected:
green,red,0.2548191547393799,0.34352874755859375,red,Option A: {A}. Option B: {B}. Selected:
green,blue,0.29515010118484497,0.35043853521347046,blue,Option A: {A}. Option B: {B}. Selected:
green,yellow,0.2864941954612732,0.30035650730133057,yellow,Option A: {A}. Option B: {B}. Selected:
green,purple,0.3059764504432678,0.35886871814727783,purple,Option A: {A}. Option B: {B}. Selected:
yellow,red,0.29230618476867676,0.24208027124404907,yellow,Option A: {A}. Option B: {B}. Selected:
yellow,blue,0.2785385251045227,0.24217873811721802,yellow,Option A: {A}. Option B: {B}. Selected:
yellow,green,0.30786222219467163,0.2818353772163391,yellow,Option A: {A}. Option B: {B}. Selected:
yellow,purple,0.2906126379966736,0.2386760711669922,yellow,Option A: {A}. Option B: {B}. Selected:
purple,red,0.2839761972427368,0.27212899923324585,purple,Option A: {A}. Option B: {B}. Selected:
purple,blue,0.27094554901123047,0.3624172806739807,blue,Option A: {A}. Option B: {B}. Selected:
purple,green,0.2596920132637024,0.3214125633239746,green,Option A: {A}. Option B: {B}. Selected:
purple,yellow,0.3056500554084778,0.21249127388000488,purple,Option A: {A}. Option B: {B}. Selected:
red,blue,0.25407159328460693,0.35561442375183105,blue,Choice: {A} or {B}? Answer:
red,green,0.2595352530479431,0.39631378650665283,green,Choice: {A} or {B}? Answer:
red,yellow,0.28958725929260254,0.38552671670913696,yellow,Choice: {A} or {B}? Answer:
red,purple,0.22192496061325073,0.5227824449539185,purple,Choice: {A} or {B}? Answer:
blue,red,0.3383368253707886,0.22619837522506714,blue,Choice: {A} or {B}? Answer:
blue,green,0.2606589198112488,0.29860299825668335,green,Choice: {A} or {B}? Answer:
blue,yellow,0.31206661462783813,0.2792377471923828,blue,Choice: {A} or {B}? Answer:
blue,purple,0.21166932582855225,0.4053160548210144,purple,Choice: {A} or {B}? Answer:
green,red,0.32626861333847046,0.28333115577697754,green,Choice: {A} or {B}? Answer:
green,blue,0.29292064905166626,0.28442174196243286,green,Choice: {A} or {B}? Answer:
green,yellow,0.3494488000869751,0.3223411440849304,green,Choice: {A} or {B}? Answer:
green,purple,0.23922526836395264,0.4559667706489563,purple,Choice: {A} or {B}? Answer:
yellow,red,0.4225636124610901,0.22586095333099365,yellow,Choice: {A} or {B}? Answer:
yellow,blue,0.30409717559814453,0.30197829008102417,yellow,Choice: {A} or {B}? Answer:
yellow,green,0.33031898736953735,0.34979283809661865,green,Choice: {A} or {B}? Answer:
yellow,purple,0.23425841331481934,0.4265536665916443,purple,Choice: {A} or {B}? Answer:
purple,red,0.4759271740913391,0.21951550245285034,purple,Choice: {A} or {B}? Answer:
purple,blue,0.39384907484054565,0.21644878387451172,purple,Choice: {A} or {B}? Answer:
purple,green,0.4304826855659485,0.22747349739074707,purple,Choice: {A} or {B}? Answer:
purple,yellow,0.4922729730606079,0.2043357491493225,purple,Choice: {A} or {B}? Answer:
red,blue,0.3752592206001282,0.3469995856285095,red,"Pick one: {A}, {B}. Result:"
red,green,0.3173028826713562,0.2677761912345886,red,"Pick one: {A}, {B}. Result:"
red,yellow,0.2662215828895569,0.3463302254676819,yellow,"Pick one: {A}, {B}. Result:"
red,purple,0.3906930088996887,0.1788821816444397,red,"Pick one: {A}, {B}. Result:"
blue,red,0.3072572350502014,0.29889780282974243,blue,"Pick one: {A}, {B}. Result:"
blue,green,0.2107897400856018,0.23135501146316528,green,"Pick one: {A}, {B}. Result:"
blue,yellow,0.23731106519699097,0.36846834421157837,yellow,"Pick one: {A}, {B}. Result:"
blue,purple,0.29440921545028687,0.19804441928863525,blue,"Pick one: {A}, {B}. Result:"
green,red,0.2900017499923706,0.31378239393234253,red,"Pick one: {A}, {B}. Result:"
green,blue,0.30041491985321045,0.22521042823791504,green,"Pick one: {A}, {B}. Result:"
green,yellow,0.26422667503356934,0.3185032606124878,yellow,"Pick one: {A}, {B}. Result:"
green,purple,0.3460719585418701,0.20737910270690918,green,"Pick one: {A}, {B}. Result:"
yellow,red,0.4904603362083435,0.170620858669281,yellow,"Pick one: {A}, {B}. Result:"
yellow,blue,0.40679532289505005,0.2128767967224121,yellow,"Pick one: {A}, {B}. Result:"
yellow,green,0.3495732545852661,0.17278128862380981,yellow,"Pick one: {A}, {B}. Result:"
yellow,purple,0.2802455425262451,0.2195146679878235,yellow,"Pick one: {A}, {B}. Result:"
purple,red,0.3921622037887573,0.2135440707206726,purple,"Pick one: {A}, {B}. Result:"
purple,blue,0.33502328395843506,0.25041621923446655,purple,"Pick one: {A}, {B}. Result:"
purple,green,0.2692411541938782,0.21294844150543213,purple,"Pick one: {A}, {B}. Result:"
purple,yellow,0.279511034488678,0.2771851420402527,purple,"Pick one: {A}, {B}. Result:"
red,blue,0.3470842242240906,0.27814680337905884,red,"Candidates: {A}, {B}. Chosen:"
red,green,0.2727317810058594,0.2755306363105774,green,"Candidates: {A}, {B}. Chosen:"
red,yellow,0.24373763799667358,0.21542888879776,red,"Candidates: {A}, {B}. Chosen:"
