Color,BT_Score,iteration
yellow,0.4121868207811161,0
red,1.2959407129642386e-06,0
purple,-7.552713086056428e-07,0
blue,-9.428361380514616e-07,0
green,-0.41218641861441085,0
purple,0.9142924275279327,1
green,0.21691078289372,1
yellow,0.00024272860798646434,1
blue,-0.21814537043402993,1
red,-0.9133005685955808,1
purple,0.5738438551099136,2
yellow,0.4259653701805135,2
green,3.2196315657984087e-07,2
blue,-0.42596280330715786,2
red,-0.5738467439464188,2
purple,0.6524245219130478,3
yellow,0.31946110067328704,3
green,0.10566753614751434,3
red,-0.5387540188133428,3
blue,-0.5387991399204921,3
purple,0.5058095189927982,4
yellow,0.24932112576829724,4
green,0.08278985191028454,4
red,-0.4189593650659944,4
blue,-0.4189611316053927,4
purple,0.4164417475189168,5
yellow,0.2064208800765357,5
green,0.13753522945552987,5
blue,-0.3448163159366331,5
red,-0.41558154111439194,5
purple,0.353055987900575,6
yellow,0.1753982120625892,6
green,0.11687651012073275,6
blue,-0.29282193251994215,6
red,-0.3525087775639548,6
purple,0.3067685589795488,7
yellow,0.15262729224302518,7
green,0.10171185247690318,7
blue,-0.2547073346744355,7
red,-0.30640036902503454,7
purple,0.45902010998119636,8
yellow,0.08955944448970854,8
green,-0.04620498495049219,8
blue,-0.18232943308764504,8
red,-0.32004513643274635,8
purple,0.4093201466902059,9
yellow,0.03951782677664539,9
green,-0.12250500381063745,9
blue,-0.16316526965289313,9
red,-0.1631677000033207,9
purple,0.2198337987251051,10
yellow,0.07292620198190036,10
green,-0.07319350531912505,10
blue,-0.10978034569197348,10
red,-0.10978614969594247,10
purple,0.13376322098297067,11
yellow,0.06679654897423148,11
green,-0.033424226725081496,11
red,-0.06683815714620778,11
blue,-0.10029738608589867,11
purple,0.06160567145554552,12
yellow,0.030801261496691268,12
red,8.207635694645887e-06,12
green,7.563036298563475e-06,12
blue,-0.0924227036242371,12
red,0.114736332556852,13
green,0.05735160622294444,13
purple,0.028703666981968468,13
yellow,-0.028586168488970998,13
blue,-0.17220543727282944,13
red,0.1070342429489628,14
green,0.0535033909971645,14
purple,0.026768573353486147,14
yellow,-0.026678366354964567,14
blue,-0.1606278409446702,14
red,0.10030241275361362,15
green,0.050138881212973274,15
purple,0.02508529641896473,15
yellow,-0.02501088479089475,15
blue,-0.15051570559465688,15
purple,0.07076361546079113,16
red,0.07076263353147993,16
green,0.023603240282184856,16
yellow,-0.023532606546332602,16
blue,-0.14159688272814464,16
green,0.11147189826408521,17
red,0.08914747054721062,17
purple,1.0085811553040003e-05,17
yellow,-0.06682340202862491,17
blue,-0.13380605259424527,17
green,0.10557118954424283,18
red,0.08443091953071047,18
purple,7.206080596233733e-06,18
yellow,-0.06328895000063994,18
blue,-0.12672036515490248,18
red,0.12041175680379013,19
green,0.12040910259351989,19
purple,-0.060192607805703346,19
yellow,-0.080268416335322,19
blue,-0.10035983525627756,19
red,0.13383997788218238,20
green,0.1146718779866589,20
yellow,-0.07645749235979338,20
purple,-0.07646080493756813,20
blue,-0.0955935585715082,20
red,0.14612698374281052,21
green,0.12780366479025673,21
purple,-0.0730351081445022,21
blue,-0.09130563235071065,21
yellow,-0.1095899080378473,21
red,0.13972114142130465,22
green,0.1222036993760156,22
purple,-0.06983590736746237,22
blue,-0.0873030193744313,22
yellow,-0.10478591405541238,22
red,0.20146216238307346,23
green,0.11721988061013633,23
blue,-0.08385176826169527,23
yellow,-0.1174151372096901,23
purple,-0.117415137521796,23
red,0.25903390241697366,24
green,0.1288958289742439,24
blue,-0.06465117753447203,24
purple,-0.16163846865927667,24
yellow,-0.1616400851975186,24
red,0.28096402514637475,25
green,0.15530506072530414,25
blue,-0.07784561110168653,25
yellow,-0.14010336771880816,25
purple,-0.2183201070511629,25
red,0.2857882391858695,26
green,0.14961254625942644,26
blue,-0.059988154448930686,26
yellow,-0.13492016931630957,26
purple,-0.2404924616800912,26
red,0.30540374210561794,27
green,0.15902516526476518,27
blue,-0.029039486955532823,27
yellow,-0.1738697189260776,27
purple,-0.2615197014887798,27
red,0.337914295645632,28
green,0.16763399958411895,28
blue,-0.05619035452355092,28
yellow,-0.19641301499991215,28
purple,-0.252944925706295,28
red,0.32628980232277627,29
green,0.16196604797558933,29
blue,-0.04073868798842284,29
yellow,-0.20327987254585622,29
purple,-0.24423728976407943,29
red,0.3694717466363855,30
green,0.13037677761283817,30
blue,-0.052781100198110664,30
yellow,-0.21031014347249055,30
purple,-0.23675728057864376,30
red,0.3713481598346817,31
green,0.16475644271626066,31
blue,-0.05115612976037909,31
yellow,-0.21676080382461294,31
purple,-0.26818766896595037,31
red,0.34783662945882554,32
green,0.20983786327608556,32
blue,-0.02479673466371679,32
yellow,-0.2226152459895374,32
purple,-0.3102625120816356,32
red,0.31223943364444295,33
green,0.191203559981183,33
blue,-0.023873742037572754,33
yellow,-0.1672593473055315,33
purple,-0.3123099042825217,33
red,0.29179754982501294,34
green,0.22115841127949665,34
blue,0.011707235549380357,34
yellow,-0.1975108470704754,34
purple,-0.32715234958343586,34
red,0.28335924898408393,35
green,0.21479455620179522,35
blue,0.011363723090198619,35
yellow,-0.1918445429399256,35
purple,-0.31767298533613797,35
red,0.2754034274936501,36
green,0.20879168162529282,36
blue,0.01104280468391039,36
yellow,-0.18650204818210625,36
purple,-0.3087358656207613,36
red,0.26788732313190167,37
green,0.20312224612706586,37
blue,0.010742211068382801,37
yellow,-0.1814526704036652,37
purple,-0.30029910992367803,37
red,0.27143859603989284,38
green,0.1978294872238564,38
blue,0.010440093650259996,38
yellow,-0.18723656815766532,38
purple,-0.2924716087563439,38
red,0.2859203748780814,39
green,0.22412354415638447,39
blue,0.0204276742209899,39
yellow,-0.20333904335851827,39
purple,-0.327132549896902,39
