item_a,item_b,template,score_single_a,score_single_b,score_group_a,score_group_b,score_ppl_a,score_ppl_b
red,blue,Option A: {A}. Option B: {B}. Selected:,2.3245811462402344e-06,1.7881393432617188e-06,0.02006542682647705,0.019871890544891357,-12.96875,-13.234375
red,green,Option A: {A}. Option B: {B}. Selected:,1.6093254089355469e-06,1.913309097290039e-05,0.015652775764465332,0.01804298162460327,-13.3515625,-10.8671875
red,yellow,Option A: {A}. Option B: {B}. Selected:,1.6093254089355469e-06,6.4373016357421875e-06,0.019889235496520996,0.015149116516113281,-13.3515625,-11.953125
red,purple,Option A: {A}. Option B: {B}. Selected:,2.0265579223632812e-06,1.800060272216797e-05,0.023007333278656006,0.009105682373046875,-13.109375,-10.921875
blue,red,Option A: {A}. Option B: {B}. Selected:,1.1920928955078125e-06,1.7285346984863281e-06,0.0155983567237854,0.01873713731765747,-13.6328125,-13.2734375
blue,green,Option A: {A}. Option B: {B}. Selected:,5.960464477539062e-07,7.271766662597656e-06,0.014748811721801758,0.015469014644622803,-14.3046875,-11.828125
blue,yellow,Option A: {A}. Option B: {B}. Selected:,5.960464477539062e-07,3.337860107421875e-06,0.013817131519317627,0.012897610664367676,-14.3203125,-12.609375
blue,purple,Option A: {A}. Option B: {B}. Selected:,8.344650268554688e-07,1.239776611328125e-05,0.01762908697128296,0.008928835391998291,-13.9765625,-11.296875
green,red,Option A: {A}. Option B: {B}. Selected:,9.834766387939453e-06,8.940696716308594e-07,0.015633881092071533,0.012606382369995117,-11.53125,-13.8984375
green,blue,Option A: {A}. Option B: {B}. Selected:,8.404254913330078e-06,5.364418029785156e-07,0.018542587757110596,0.01228344440460205,-11.6875,-14.4921875
green,yellow,Option A: {A}. Option B: {B}. Selected:,6.735324859619141e-06,2.2649765014648438e-06,0.016373276710510254,0.009701669216156006,-11.90625,-12.984375
green,purple,Option A: {A}. Option B: {B}. Selected:,6.854534149169922e-06,5.066394805908203e-06,0.018472731113433838,0.005827128887176514,-11.890625,-12.1953125
yellow,red,Option A: {A}. Option B: {B}. Selected:,7.987022399902344e-06,1.0132789611816406e-06,0.017376959323883057,0.015121042728424072,-11.7421875,-13.828125
yellow,blue,Option A: {A}. Option B: {B}. Selected:,5.066394805908203e-06,4.76837158203125e-07,0.01881808042526245,0.012289822101593018,-12.1953125,-14.5703125
yellow,green,Option A: {A}. Option B: {B}. Selected:,5.602836608886719e-06,7.808208465576172e-06,0.01828479766845703,0.014598071575164795,-12.09375,-11.7578125
yellow,purple,Option A: {A}. Option B: {B}. Selected:,4.76837158203125e-06,5.4836273193359375e-06,0.019746840000152588,0.0058348774909973145,-12.2578125,-12.1171875
purple,red,Option A: {A}. Option B: {B}. Selected:,1.7762184143066406e-05,1.6093254089355469e-06,0.012401461601257324,0.018413960933685303,-10.9375,-13.3515625
purple,blue,Option A: {A}. Option B: {B}. Selected:,1.8596649169921875e-05,1.0728836059570312e-06,0.014925897121429443,0.01541602611541748,-10.890625,-13.765625
purple,green,Option A: {A}. Option B: {B}. Selected:,1.0251998901367188e-05,6.496906280517578e-06,0.011900842189788818,0.012915551662445068,-11.484375,-11.9375
purple,yellow,Option A: {A}. Option B: {B}. Selected:,8.285045623779297e-06,3.993511199951172e-06,0.011655271053314209,0.012246906757354736,-11.703125,-12.4375
red,blue,Choice: {A} or {B}? Answer:,1.1205673217773438e-05,9.775161743164062e-06,0.06396263837814331,0.04039973020553589,-11.3984375,-11.5390625
red,green,Choice: {A} or {B}? Answer:,7.450580596923828e-06,1.1444091796875e-05,0.05603891611099243,0.0207444429397583,-11.8046875,-11.375
red,yellow,Choice: {A} or {B}? Answer:,1.2934207916259766e-05,1.2159347534179688e-05,0.13805466890335083,0.016546785831451416,-11.2578125,-11.3203125
red,purple,Choice: {A} or {B}? Answer:,1.1563301086425781e-05,0.0003504753112792969,0.17400753498077393,0.07024192810058594,-11.3671875,-7.95703125
blue,red,Choice: {A} or {B}? Answer:,3.635883331298828e-05,2.9206275939941406e-06,0.1749039888381958,0.02831745147705078,-10.21875,-12.734375
blue,green,Choice: {A} or {B}? Answer:,1.4603137969970703e-05,1.0788440704345703e-05,0.15344125032424927,0.055906474590301514,-11.1328125,-11.4375
blue,yellow,Choice: {A} or {B}? Answer:,2.753734588623047e-05,1.0728836059570312e-05,0.217734694480896,0.02436649799346924,-10.5,-11.4453125
blue,purple,Choice: {A} or {B}? Answer:,2.1159648895263672e-05,0.0003082752227783203,0.22589343786239624,0.08086031675338745,-10.765625,-8.0859375
green,red,Choice: {A} or {B}? Answer:,2.682209014892578e-05,1.7285346984863281e-06,0.09720712900161743,0.02976405620574951,-10.5234375,-13.25
green,blue,Choice: {A} or {B}? Answer:,1.5556812286376953e-05,3.933906555175781e-06,0.08528023958206177,0.04234886169433594,-11.0703125,-12.4453125
green,yellow,Choice: {A} or {B}? Answer:,1.895427703857422e-05,6.079673767089844e-06,0.14659535884857178,0.026862144470214844,-10.875,-12.015625
green,purple,Choice: {A} or {B}? Answer:,2.4616718292236328e-05,0.00012505054473876953,0.19797027111053467,0.05374807119369507,-10.609375,-8.984375
yellow,red,Choice: {A} or {B}? Answer:,5.906820297241211e-05,2.9802322387695312e-06,0.12288570404052734,0.060910820960998535,-9.734375,-12.7109375
yellow,blue,Choice: {A} or {B}? Answer:,3.230571746826172e-05,7.569789886474609e-06,0.09596574306488037,0.07593578100204468,-10.34375,-11.796875
yellow,green,Choice: {A} or {B}? Answer:,2.2232532501220703e-05,1.0251998901367188e-05,0.0807611346244812,0.06666666269302368,-10.7109375,-11.484375
yellow,purple,Choice: {A} or {B}? Answer:,4.202127456665039e-05,0.00020515918731689453,0.22119808197021484,0.09738332033157349,-10.078125,-8.4921875
purple,red,Choice: {A} or {B}? Answer:,0.0012302398681640625,4.827976226806641e-06,0.2761838436126709,0.13249939680099487,-6.69921875,-12.2421875
purple,blue,Choice: {A} or {B}? Answer:,0.0007953643798828125,1.1324882507324219e-05,0.22902512550354004,0.17205965518951416,-7.13671875,-11.390625
purple,green,Choice: {A} or {B}? Answer:,0.0006880760192871094,1.1742115020751953e-05,0.22798824310302734,0.11279720067977905,-7.28125,-11.3515625
purple,yellow,Choice: {A} or {B}? Answer:,0.0008573532104492188,1.8775463104248047e-05,0.35155653953552246,0.09146654605865479,-7.0625,-10.8828125
red,blue,"Pick one: {A}, {B}. Result:",8.934736251831055e-05,7.176399230957031e-05,0.38063687086105347,0.21020817756652832,-9.3203125,-9.5390625
red,green,"Pick one: {A}, {B}. Result:",9.79304313659668e-05,7.164478302001953e-05,0.3990557789802551,0.06899756193161011,-9.234375,-9.546875
red,yellow,"Pick one: {A}, {B}. Result:",0.00010502338409423828,6.99758529663086e-05,0.44140881299972534,0.04823768138885498,-9.1640625,-9.5703125
red,purple,"Pick one: {A}, {B}. Result:",8.481740951538086e-05,0.00036263465881347656,0.42508572340011597,0.08345741033554077,-9.375,-7.921875
blue,red,"Pick one: {A}, {B}. Result:",0.0001628398895263672,2.8073787689208984e-05,0.4471203684806824,0.13519400358200073,-8.71875,-10.4765625
blue,green,"Pick one: {A}, {B}. Result:",0.00014138221740722656,4.774332046508789e-05,0.4435029625892639,0.061776697635650635,-8.8671875,-9.953125
blue,yellow,"Pick one: {A}, {B}. Result:",0.0001647472381591797,0.0001366138458251953,0.4759937524795532,0.11050665378570557,-8.7109375,-8.8984375
blue,purple,"Pick one: {A}, {B}. Result:",0.00011754035949707031,0.000457763671875,0.33996719121932983,0.10618764162063599,-9.046875,-7.6875
green,red,"Pick one: {A}, {B}. Result:",0.00014662742614746094,2.4497509002685547e-05,0.17697525024414062,0.144187331199646,-8.828125,-10.6171875
green,blue,"Pick one: {A}, {B}. Result:",0.00011563301086425781,3.415346145629883e-05,0.1576870083808899,0.09619617462158203,-9.0625,-10.28125
green,yellow,"Pick one: {A}, {B}. Result:",0.00011998414993286133,7.992982864379883e-05,0.17563802003860474,0.08752697706222534,-9.03125,-9.4375
green,purple,"Pick one: {A}, {B}. Result:",0.00012612342834472656,0.0003535747528076172,0.18549203872680664,0.09795397520065308,-8.9765625,-7.94921875
yellow,red,"Pick one: {A}, {B}. Result:",0.0005950927734375,2.4974346160888672e-05,0.3540278673171997,0.10877925157546997,-7.42578125,-10.6015625
yellow,blue,"Pick one: {A}, {B}. Result:",0.0006284713745117188,5.936622619628906e-05,0.40179646015167236,0.1452927589416504,-7.37109375,-9.734375
yellow,green,"Pick one: {A}, {B}. Result:",0.0005540847778320312,4.0471553802490234e-05,0.4698835015296936,0.04738646745681763,-7.49609375,-10.1171875
yellow,purple,"Pick one: {A}, {B}. Result:",0.00064849853515625,0.00020253658294677734,0.5451279282569885,0.05481910705566406,-7.33984375,-8.5078125
purple,red,"Pick one: {A}, {B}. Result:",0.0016632080078125,1.7344951629638672e-05,0.36338353157043457,0.16047358512878418,-6.3984375,-10.9609375
purple,blue,"Pick one: {A}, {B}. Result:",0.0019702911376953125,3.8683414459228516e-05,0.43530672788619995,0.13214516639709473,-6.23046875,-10.15625
purple,green,"Pick one: {A}, {B}. Result:",0.001953125,3.361701965332031e-05,0.5026909708976746,0.06277704238891602,-6.23828125,-10.296875
purple,yellow,"Pick one: {A}, {B}. Result:",0.001537322998046875,0.0001583099365234375,0.41268354654312134,0.20277780294418335,-6.4765625,-8.75
red,blue,"Candidates: {A}, {B}. Chosen:",2.086162567138672e-06,1.7881393432617188e-07,0.015099525451660156,0.001131296157836914,-13.0859375,-15.6015625
red,green,"Candidates: {A}, {B}. Chosen:",2.086162567138672e-06,2.0265579223632812e-06,0.018176138401031494,0.003025054931640625,-13.0859375,-13.1171875
red,yellow,"Candidates: {A}, {B}. Chosen:",7.748603820800781e-07,5.960464477539063e-08,0.010414421558380127,0.00035583972930908203,-14.0703125,-16.390625
red,purple,"Candidates: {A}, {B}. Chosen:",2.086162567138672e-06,8.344650268554688e-07,0.02330327033996582,0.0003789663314819336,-13.0703125,-13.9921875
blue,red,"Candidates: {A}, {B}. Chosen:",4.172325134277344e-07,3.5762786865234375e-07,0.006684064865112305,0.0025262832641601562,-14.765625,-14.859375
blue,green,"Candidates: {A}, {B}. Chosen:",1.7881393432617188e-07,8.940696716308594e-07,0.006489694118499756,0.002157151699066162,-15.515625,-13.9375
