item_a,item_b,template,score_single_a,score_single_b,score_group_a,score_group_b,score_ppl_a,score_ppl_b
red,blue,Option A: {A}. Option B: {B}. Selected:,0.08367919921875,0.0919189453125,0.25207698345184326,0.2673869729042053,-2.48046875,-2.38671875
red,green,Option A: {A}. Option B: {B}. Selected:,0.12103271484375,0.150634765625,0.2582101821899414,0.3079227805137634,-2.111328125,-1.892578125
red,yellow,Option A: {A}. Option B: {B}. Selected:,0.07391357421875,0.04278564453125,0.28401923179626465,0.23552197217941284,-2.60546875,-3.15234375
red,purple,Option A: {A}. Option B: {B}. Selected:,0.0220794677734375,0.0150604248046875,0.28416502475738525,0.25840771198272705,-3.8125,-4.1953125
blue,red,Option A: {A}. Option B: {B}. Selected:,0.0167236328125,0.01409149169921875,0.22213488817214966,0.2346593737602234,-4.08984375,-4.26171875
blue,green,Option A: {A}. Option B: {B}. Selected:,0.0176239013671875,0.01507568359375,0.23084169626235962,0.26883262395858765,-4.0390625,-4.1953125
blue,yellow,Option A: {A}. Option B: {B}. Selected:,0.01236724853515625,0.007213592529296875,0.24254339933395386,0.19967031478881836,-4.39453125,-4.93359375
blue,purple,Option A: {A}. Option B: {B}. Selected:,0.005786895751953125,0.003429412841796875,0.23969072103500366,0.252774178981781,-5.15234375,-5.67578125
green,red,Option A: {A}. Option B: {B}. Selected:,0.0112457275390625,0.0238037109375,0.2558451294898987,0.34491580724716187,-4.48828125,-3.73828125
green,blue,Option A: {A}. Option B: {B}. Selected:,0.006191253662109375,0.0077056884765625,0.2935577630996704,0.3484031558036804,-5.0859375,-4.8671875
green,yellow,Option A: {A}. Option B: {B}. Selected:,0.0121307373046875,0.0103759765625,0.2882624864578247,0.2978779673576355,-4.4140625,-4.5703125
green,purple,Option A: {A}. Option B: {B}. Selected:,0.002681732177734375,0.006847381591796875,0.30453264713287354,0.357734739780426,-5.921875,-4.984375
yellow,red,Option A: {A}. Option B: {B}. Selected:,0.010711669921875,0.0117645263671875,0.29331284761428833,0.24280470609664917,-4.53515625,-4.44140625
yellow,blue,Option A: {A}. Option B: {B}. Selected:,0.01024627685546875,0.0066680908203125,0.27980518341064453,0.24314934015274048,-4.58203125,-5.01171875
yellow,green,Option A: {A}. Option B: {B}. Selected:,0.0236968994140625,0.028594970703125,0.3050265312194824,0.28294503688812256,-3.7421875,-3.5546875
yellow,purple,Option A: {A}. Option B: {B}. Selected:,0.006206512451171875,0.005352020263671875,0.2907456159591675,0.241715669631958,-5.08203125,-5.23046875
purple,red,Option A: {A}. Option B: {B}. Selected:,0.0023937225341796875,0.003246307373046875,0.285719633102417,0.27381664514541626,-6.03515625,-5.73046875
