item_a,item_b,template,score_single_a,score_single_b,score_group_a,score_group_b,score_ppl_a,score_ppl_b
red,blue,Option A: {A}. Option B: {B}. Selected:,0.0,0.0,5.960464477539063e-08,0.0,-30.6875,-30.0625
red,green,Option A: {A}. Option B: {B}. Selected:,0.0,0.0,0.0,0.0,-30.984375,-30.296875
red,yellow,Option A: {A}. Option B: {B}. Selected:,0.0,0.0,0.0,0.0,-31.125,-30.3125
red,purple,Option A: {A}. Option B: {B}. Selected:,0.0,0.0,0.0,0.0,-30.609375,-25.40625
blue,red,Option A: {A}. Option B: {B}. Selected:,0.0,0.0,5.960464477539063e-08,0.0,-29.4375,-30.640625
blue,green,Option A: {A}. Option B: {B}. Selected:,0.0,0.0,5.960464477539063e-08,0.0,-30.296875,-30.203125
blue,yellow,Option A: {A}. Option B: {B}. Selected:,0.0,0.0,0.0,0.0,-30.375,-30.265625
blue,purple,Option A: {A}. Option B: {B}. Selected:,0.0,0.0,5.960464477539063e-08,0.0,-29.96875,-25.46875
green,red,Option A: {A}. Option B: {B}. Selected:,0.0,0.0,5.960464477539063e-08,0.0,-28.984375,-30.5
green,blue,Option A: {A}. Option B: {B}. Selected:,0.0,0.0,5.960464477539063e-08,0.0,-29.4375,-29.640625
green,yellow,Option A: {A}. Option B: {B}. Selected:,0.0,0.0,0.0,0.0,-30.453125,-30.46875
green,purple,Option A: {A}. Option B: {B}. Selected:,0.0,0.0,0.0,0.0,-29.984375,-25.671875
yellow,red,Option A: {A}. Option B: {B}. Selected:,0.0,0.0,5.960464477539063e-08,0.0,-29.71875,-30.859375
yellow,blue,Option A: {A}. Option B: {B}. Selected:,0.0,0.0,0.0,0.0,-30.234375,-30.4375
yellow,green,Option A: {A}. Option B: {B}. Selected:,0.0,0.0,0.0,0.0,-30.4375,-30.546875
yellow,purple,Option A: {A}. Option B: {B}. Selected:,0.0,0.0,0.0,0.0,-30.375,-26.015625
purple,red,Option A: {A}. Option B: {B}. Selected:,0.0,0.0,5.960464477539063e-08,0.0,-25.546875,-30.984375
purple,blue,Option A: {A}. Option B: {B}. Selected:,0.0,0.0,0.0,0.0,-25.5,-30.078125
purple,green,Option A: {A}. Option B: {B}. Selected:,0.0,0.0,0.0,0.0,-25.84375,-30.265625
purple,yellow,Option A: {A}. Option B: {B}. Selected:,0.0,0.0,0.0,0.0,-26.046875,-30.46875
red,blue,Choice: {A} or {B}? Answer:,8.881092071533203e-06,3.5762786865234375e-07,0.2008931040763855,0.000503838062286377,-11.625,-14.7734375
red,green,Choice: {A} or {B}? Answer:,7.450580596923828e-06,1.1920928955078125e-07,0.08976691961288452,0.0007768869400024414,-11.8125,-16.078125
red,yellow,Choice: {A} or {B}? Answer:,6.854534149169922e-06,1.7881393432617188e-07,0.10515379905700684,5.4895877838134766e-05,-11.890625,-15.4921875
red,purple,Choice: {A} or {B}? Answer:,4.172325134277344e-07,7.748603820800781e-07,0.004988193511962891,9.989738464355469e-05,-14.7421875,-14.0859375
blue,red,Choice: {A} or {B}? Answer:,4.9948692321777344e-05,0.0,0.16452902555465698,2.6941299438476562e-05,-9.90625,-19.9375
blue,green,Choice: {A} or {B}? Answer:,5.900859832763672e-06,0.0,0.044970929622650146,6.860494613647461e-05,-12.0390625,-19.671875
blue,yellow,Choice: {A} or {B}? Answer:,6.079673767089844e-06,0.0,0.037217795848846436,3.159046173095703e-06,-12.015625,-18.640625
blue,purple,Choice: {A} or {B}? Answer:,2.9206275939941406e-06,2.980232238769531e-07,0.02075093984603882,8.475780487060547e-05,-12.7421875,-15.0
green,red,Choice: {A} or {B}? Answer:,1.817941665649414e-05,0.0,0.6601338982582092,4.76837158203125e-06,-10.9140625,-22.0
green,blue,Choice: {A} or {B}? Answer:,5.543231964111328e-06,0.0,0.5530334711074829,6.079673767089844e-06,-12.109375,-21.0625
green,yellow,Choice: {A} or {B}? Answer:,8.761882781982422e-06,0.0,0.38376671075820923,8.940696716308594e-07,-11.6484375,-19.59375
green,purple,Choice: {A} or {B}? Answer:,2.086162567138672e-06,0.0,0.0839877724647522,2.8014183044433594e-06,-13.0859375,-18.25
yellow,red,Choice: {A} or {B}? Answer:,0.0006580352783203125,0.0,0.06842911243438721,5.6743621826171875e-05,-7.328125,-17.921875
yellow,blue,Choice: {A} or {B}? Answer:,6.35981559753418e-05,0.0,0.017037928104400635,2.7418136596679688e-06,-9.6640625,-20.0
yellow,green,Choice: {A} or {B}? Answer:,0.0001729726791381836,0.0,0.03066396713256836,0.00011545419692993164,-8.6640625,-17.953125
yellow,purple,Choice: {A} or {B}? Answer:,3.731250762939453e-05,0.0,0.00474238395690918,3.2186508178710938e-06,-10.1953125,-17.34375
purple,red,Choice: {A} or {B}? Answer:,0.0001914501190185547,0.0,0.029599666595458984,1.5795230865478516e-05,-8.5625,-19.046875
purple,blue,Choice: {A} or {B}? Answer:,0.0001558065414428711,5.960464477539063e-08,0.06159985065460205,7.408857345581055e-05,-8.765625,-17.296875
purple,green,Choice: {A} or {B}? Answer:,0.00012034177780151367,0.0,0.03033822774887085,3.349781036376953e-05,-9.0234375,-18.90625
purple,yellow,Choice: {A} or {B}? Answer:,0.0001443624496459961,0.0,0.028907299041748047,4.172325134277344e-06,-8.84375,-17.71875
red,blue,"Pick one: {A}, {B}. Result:",7.152557373046875e-07,5.960464477539063e-08,0.9985991716384888,0.0003363490104675293,-14.15625,-17.21875
red,green,"Pick one: {A}, {B}. Result:",8.940696716308594e-07,2.384185791015625e-07,0.9888907670974731,0.005034804344177246,-13.9453125,-15.1796875
red,yellow,"Pick one: {A}, {B}. Result:",1.1324882507324219e-06,7.152557373046875e-07,0.996168315410614,0.00044333934783935547,-13.703125,-14.1875
red,purple,"Pick one: {A}, {B}. Result:",9.5367431640625e-07,2.5570392608642578e-05,0.9726824760437012,0.008060038089752197,-13.875,-10.578125
blue,red,"Pick one: {A}, {B}. Result:",4.684925079345703e-05,5.960464477539062e-07,0.7803971767425537,0.20963668823242188,-9.96875,-14.3125
blue,green,"Pick one: {A}, {B}. Result:",1.5795230865478516e-05,1.8477439880371094e-06,0.8085821270942688,0.14719414710998535,-11.0546875,-13.1953125
blue,yellow,"Pick one: {A}, {B}. Result:",2.562999725341797e-05,6.67572021484375e-06,0.9763791561126709,0.008433222770690918,-10.5703125,-11.9140625
blue,purple,"Pick one: {A}, {B}. Result:",1.4662742614746094e-05,0.00023674964904785156,0.6845374703407288,0.2001272439956665,-11.1328125,-8.3515625
green,red,"Pick one: {A}, {B}. Result:",1.9371509552001953e-05,0.0,0.9788200855255127,0.011041998863220215,-10.8515625,-17.8125
