iteration,num_templates,green,red,blue,yellow,purple
1,1,4.2327724414550835e+20,4.232726809864874e+20,7.683528463254135e-08,1.9827842995028768e-14,3.6636895377649505e-21
2,2,3.3003488124719245,0.9804865450358602,0.980488056471119,0.6299741692164079,0.5003034165636787
3,3,3.77109434968743,1.137594941296807,0.8406192481296719,0.38233354273005377,0.7252758530154985
4,4,2.9628705593625946,1.4077062879890807,0.6335481866687289,0.3376761446424456,1.1207151373337636
5,5,2.2403199577251525,1.2957464035860455,0.7076473994495557,0.44655955141488146,1.0901183299922628
6,6,1.9113121616289708,1.2341810302944545,0.7551936738745553,0.523355564973428,1.072591423735218
7,7,1.722127066281253,1.1945445711197986,0.7888544720421174,0.5807905076327454,1.0610016200169627
8,8,1.5988272785702524,1.1666732532815949,0.814123717387091,0.6255418502401134,1.0526946887759259
9,9,1.5119125957211001,1.1459194172945493,0.8338615280643541,0.6614771220793693,1.0464306963597123
10,10,1.4490959144309108,1.2271100070126078,0.8495053467406244,0.6618286028288085,1.0002480676904935
11,11,1.4025098564902208,1.4025082632407435,0.8300762476116275,0.6354447914731521,0.9638131294513156
12,12,1.3642594570083966,1.3642611206135433,0.9038520203157674,0.5936315046466721,1.0013623305525825
13,13,1.3315659770186836,1.42022869601784,0.9107980530754936,0.598471123854173,0.9700938078372663
14,14,1.3029538523266606,1.382793185759187,0.9170321753355941,0.6225873794138699,0.9721400791631697
15,15,1.2789638722797403,1.3515780635259953,0.9224428237440088,0.6439238308112946,0.9739275117243119
16,16,1.2921323170468841,1.3259827796967905,0.9272119916728215,0.6452027932576719,0.9756180996980963
17,17,1.2719059175394845,1.3031168749180602,0.9314001367996585,0.6630259736421492,0.9770005405117683
18,18,1.2563953730170736,1.3461421923799688,0.8736976834116301,0.6316593151322311,1.0713679387428032
19,19,1.240635675757833,1.3241289395483191,0.8800767482816966,0.6481034382815974,1.0672362901426833
20,20,1.2018365103517432,1.2780936406834764,0.8859791737220811,0.663334377372782,1.107735092882332
21,21,1.190944919645326,1.2626260814097845,0.8911875117528174,0.6770761980655864,1.1021150394772918
22,22,1.2032813722849298,1.2488336208767095,0.8959011979317594,0.6896722452015397,1.0770239431111563
23,23,1.1933159425959854,1.2364102309796623,0.9002543218905181,0.7013690984605881,1.0734210921694822
24,24,1.1842917947681137,1.2251812787648952,0.9042576271334101,0.7122065281624934,1.0701454195013598
25,25,1.1199571173586422,1.2548478403000656,0.9530120021198464,0.7344915495054284,1.0165350666711428
26,26,1.115010165581107,1.1866372884714764,0.9402009931774667,0.7436846420528694,1.0809202755542682
27,27,1.1108380749893014,1.1619341486346721,0.9566598220836631,0.7182161274546782,1.127599928146339
28,28,1.1065668193823868,1.1555666597138914,0.9581660591097924,0.7270121265810788,1.1226513820776824
29,29,1.1184779850092768,1.1663892006995034,0.9075145813479621,0.7140856568938975,1.1828376726057286
30,30,1.1141918518097975,1.1602539096857134,0.9104860129957093,0.7224135263006591,1.1760555448814283
31,31,1.1393919773402783,1.1393895631421787,0.9252815277651766,0.7402403918487105,1.1246255211431324
32,32,1.1782184900255601,1.1201574912973735,0.9043839103750629,0.7767530660920479,1.0785971659799678
33,33,1.1722745168966122,1.1162482532264453,0.9071695973898818,0.7828432133893045,1.076085068982427
34,34,1.209629064863633,1.0997017255723318,0.8778085073833276,0.7695528724054373,1.112844877138621
35,35,1.2029280994686071,1.0966662013016426,0.8811296358971933,0.7754652203893562,1.1093887008162715
36,36,1.1966512041602915,1.0938045241584877,0.8842715285165378,0.7810847938322362,1.106136892671749
37,37,1.1907445402936576,1.10307602402074,0.8872517591970616,0.7864272626498151,1.0911150003915642
38,38,1.185194177624169,1.1001837004576913,0.8900793903755759,0.7915144798521905,1.088573292364991
39,39,1.1799526724631946,1.0974520344259964,0.8927702204380775,0.7963630120612278,1.0861732125970616
40,40,1.1868437020643396,1.1058727903563426,0.9043940822289873,0.8091973713924584,1.04109203205896
41,41,1.181832621382771,1.1140224862188057,0.9066243032584792,0.8134366130891083,1.0299093398648105
42,42,1.1884686230244679,1.1218350276341755,0.9174829341742423,0.8174665788834502,1.0000351902656663
43,43,1.1725742494403577,1.1293568814475279,0.9455213733986555,0.8136709793926471,0.9815405992098857
44,44,1.1682792422100308,1.1262000913946053,0.9467396667029225,0.817549501653765,0.9819585358133843
45,45,1.1748106066925719,1.1435930188359031,0.9649448916517169,0.813792178861942,0.9478609305340095
46,46,1.1502098109306,1.150209721753247,0.9489827265912958,0.8247868465210784,0.9657080787069093
47,47,1.156773589292376,1.1667660280239107,0.9419232474031854,0.8139375227755896,0.9664096860172904
48,48,1.143551388496057,1.1629506041513067,0.9510573118899649,0.8175186596109777,0.9671162550819555
49,49,1.140368682617227,1.1689057403287675,0.9598561261976813,0.8277294420799681,0.9442362782832571
50,50,1.1373464340847443,1.1652162631384884,0.9606460861368439,0.830908963962008,0.9453308485227024
