item_a,item_b,template,score_single_a,score_single_b,score_group_a,score_group_b,score_ppl_a,score_ppl_b
red,blue,Option A: {A}. Option B: {B}. Selected:,0.04144287109375,0.03656005859375,0.18886691331863403,0.18273591995239258,-3.18359375,-3.30859375
red,green,Option A: {A}. Option B: {B}. Selected:,0.03271484375,0.031463623046875,0.23278576135635376,0.2123081088066101,-3.419921875,-3.458984375
red,yellow,Option A: {A}. Option B: {B}. Selected:,0.052734375,0.03485107421875,0.20742183923721313,0.22456538677215576,-2.943359375,-3.357421875
red,purple,Option A: {A}. Option B: {B}. Selected:,0.02618408203125,0.01108551025390625,0.21154868602752686,0.1810857057571411,-3.642578125,-4.50390625
blue,red,Option A: {A}. Option B: {B}. Selected:,0.042694091796875,0.053131103515625,0.1673499345779419,0.21436452865600586,-3.154296875,-2.935546875
blue,green,Option A: {A}. Option B: {B}. Selected:,0.03546142578125,0.036285400390625,0.17348384857177734,0.20108634233474731,-3.33984375,-3.31640625
blue,yellow,Option A: {A}. Option B: {B}. Selected:,0.0577392578125,0.04461669921875,0.16213059425354004,0.20395022630691528,-2.8515625,-3.109375
blue,purple,Option A: {A}. Option B: {B}. Selected:,0.031463623046875,0.0157012939453125,0.16633474826812744,0.1751057505607605,-3.458984375,-4.15625
green,red,Option A: {A}. Option B: {B}. Selected:,0.0298614501953125,0.028717041015625,0.20855247974395752,0.23716634511947632,-3.51171875,-3.55078125
green,blue,Option A: {A}. Option B: {B}. Selected:,0.0276336669921875,0.021697998046875,0.18217122554779053,0.21726882457733154,-3.587890625,-3.830078125
green,yellow,Option A: {A}. Option B: {B}. Selected:,0.045745849609375,0.0239105224609375,0.19358325004577637,0.2332891821861267,-3.083984375,-3.732421875
green,purple,Option A: {A}. Option B: {B}. Selected:,0.02642822265625,0.009063720703125,0.22051101922988892,0.18547582626342773,-3.6328125,-4.703125
yellow,red,Option A: {A}. Option B: {B}. Selected:,0.0234222412109375,0.049957275390625,0.17737418413162231,0.23856395483016968,-3.75390625,-2.99609375
yellow,blue,Option A: {A}. Option B: {B}. Selected:,0.0289154052734375,0.041748046875,0.1563144326210022,0.20649123191833496,-3.54296875,-3.17578125
yellow,green,Option A: {A}. Option B: {B}. Selected:,0.0264892578125,0.03704833984375,0.18619394302368164,0.23410189151763916,-3.630859375,-3.294921875
yellow,purple,Option A: {A}. Option B: {B}. Selected:,0.0246429443359375,0.0181732177734375,0.1850382685661316,0.18551719188690186,-3.703125,-4.0078125
purple,red,Option A: {A}. Option B: {B}. Selected:,0.0150146484375,0.0335693359375,0.15868628025054932,0.18117576837539673,-4.19921875,-3.39453125
purple,blue,Option A: {A}. Option B: {B}. Selected:,0.023590087890625,0.023773193359375,0.1440117359161377,0.15777647495269775,-3.74609375,-3.73828125
purple,green,Option A: {A}. Option B: {B}. Selected:,0.0165557861328125,0.0219268798828125,0.1785339117050171,0.16428148746490479,-4.1015625,-3.8203125
purple,yellow,Option A: {A}. Option B: {B}. Selected:,0.028167724609375,0.0347900390625,0.1507018804550171,0.17900782823562622,-3.5703125,-3.359375
red,blue,Choice: {A} or {B}? Answer:,0.260009765625,0.2138671875,0.31565022468566895,0.27460771799087524,-1.34765625,-1.54296875
red,green,Choice: {A} or {B}? Answer:,0.2149658203125,0.348876953125,0.25623875856399536,0.4113926291465759,-1.537109375,-1.052734375
red,yellow,Choice: {A} or {B}? Answer:,0.23828125,0.2401123046875,0.29476189613342285,0.28738874197006226,-1.4345703125,-1.4267578125
red,purple,Choice: {A} or {B}? Answer:,0.2083740234375,0.278076171875,0.23686641454696655,0.34486472606658936,-1.568359375,-1.279296875
blue,red,Choice: {A} or {B}? Answer:,0.28369140625,0.19189453125,0.36524367332458496,0.2215234637260437,-1.259765625,-1.650390625
blue,green,Choice: {A} or {B}? Answer:,0.259033203125,0.251220703125,0.33278417587280273,0.29795539379119873,-1.3505859375,-1.3818359375
blue,yellow,Choice: {A} or {B}? Answer:,0.280517578125,0.1973876953125,0.3608073592185974,0.23212122917175293,-1.2705078125,-1.6220703125
blue,purple,Choice: {A} or {B}? Answer:,0.257080078125,0.1781005859375,0.31677842140197754,0.2142866849899292,-1.3583984375,-1.7255859375
green,red,Choice: {A} or {B}? Answer:,0.414306640625,0.1727294921875,0.49212950468063354,0.19930392503738403,-0.880859375,-1.755859375
green,blue,Choice: {A} or {B}? Answer:,0.364013671875,0.205810546875,0.4313167929649353,0.25062382221221924,-1.0107421875,-1.5810546875
green,yellow,Choice: {A} or {B}? Answer:,0.410400390625,0.17919921875,0.47943294048309326,0.19850963354110718,-0.890625,-1.71875
green,purple,Choice: {A} or {B}? Answer:,0.311767578125,0.2408447265625,0.3574844002723694,0.28424566984176636,-1.166015625,-1.423828125
yellow,red,Choice: {A} or {B}? Answer:,0.310791015625,0.1812744140625,0.35579460859298706,0.20346474647521973,-1.1689453125,-1.7080078125
yellow,blue,Choice: {A} or {B}? Answer:,0.24755859375,0.2020263671875,0.2944679260253906,0.2523430585861206,-1.396484375,-1.599609375
yellow,green,Choice: {A} or {B}? Answer:,0.2470703125,0.291015625,0.2777681350708008,0.32732945680618286,-1.3984375,-1.234375
yellow,purple,Choice: {A} or {B}? Answer:,0.291259765625,0.1837158203125,0.3210747241973877,0.21140670776367188,-1.2333984375,-1.6943359375
purple,red,Choice: {A} or {B}? Answer:,0.32373046875,0.14697265625,0.40344101190567017,0.15888166427612305,-1.1279296875,-1.9169921875
purple,blue,Choice: {A} or {B}? Answer:,0.2469482421875,0.199951171875,0.3135039210319519,0.24335086345672607,-1.3984375,-1.609375
purple,green,Choice: {A} or {B}? Answer:,0.302490234375,0.1893310546875,0.3660714030265808,0.21524447202682495,-1.1953125,-1.6640625
purple,yellow,Choice: {A} or {B}? Answer:,0.3046875,0.1998291015625,0.3585734963417053,0.2150726318359375,-1.1884765625,-1.6103515625
red,blue,"Pick one: {A}, {B}. Result:",0.31396484375,0.204345703125,0.3707100749015808,0.23059487342834473,-1.158203125,-1.587890625
red,green,"Pick one: {A}, {B}. Result:",0.1898193359375,0.383544921875,0.22517430782318115,0.4205610156059265,-1.662109375,-0.95849609375
red,yellow,"Pick one: {A}, {B}. Result:",0.240234375,0.1812744140625,0.2894328236579895,0.19498920440673828,-1.4267578125,-1.7080078125
red,purple,"Pick one: {A}, {B}. Result:",0.1610107421875,0.293701171875,0.1960342526435852,0.3430311679840088,-1.826171875,-1.224609375
blue,red,"Pick one: {A}, {B}. Result:",0.1964111328125,0.294921875,0.23156654834747314,0.3238229751586914,-1.6279296875,-1.2216796875
blue,green,"Pick one: {A}, {B}. Result:",0.1668701171875,0.331787109375,0.20033228397369385,0.3679170608520508,-1.791015625,-1.103515625
blue,yellow,"Pick one: {A}, {B}. Result:",0.197509765625,0.1944580078125,0.24120211601257324,0.21082943677902222,-1.6220703125,-1.6376953125
blue,purple,"Pick one: {A}, {B}. Result:",0.135009765625,0.266357421875,0.16802114248275757,0.30381500720977783,-2.001953125,-1.3232421875
green,red,"Pick one: {A}, {B}. Result:",0.280029296875,0.2320556640625,0.32177555561065674,0.254871666431427,-1.2734375,-1.4609375
green,blue,"Pick one: {A}, {B}. Result:",0.275634765625,0.204833984375,0.3241056799888611,0.2316388487815857,-1.2880859375,-1.5849609375
green,yellow,"Pick one: {A}, {B}. Result:",0.30859375,0.145751953125,0.35695475339889526,0.15683823823928833,-1.17578125,-1.92578125
green,purple,"Pick one: {A}, {B}. Result:",0.2076416015625,0.275146484375,0.24147182703018188,0.31404274702072144,-1.572265625,-1.291015625
yellow,red,"Pick one: {A}, {B}. Result:",0.166259765625,0.2939453125,0.1879509687423706,0.3182464838027954,-1.7939453125,-1.2236328125
yellow,blue,"Pick one: {A}, {B}. Result:",0.198974609375,0.22021484375,0.22793596982955933,0.24881303310394287,-1.615234375,-1.513671875
yellow,green,"Pick one: {A}, {B}. Result:",0.1304931640625,0.34375,0.1552141308784485,0.37676674127578735,-2.037109375,-1.0673828125
yellow,purple,"Pick one: {A}, {B}. Result:",0.1640625,0.26416015625,0.18654751777648926,0.29366111755371094,-1.8076171875,-1.3310546875
purple,red,"Pick one: {A}, {B}. Result:",0.18212890625,0.2470703125,0.21871942281723022,0.26846688985824585,-1.703125,-1.3984375
purple,blue,"Pick one: {A}, {B}. Result:",0.178955078125,0.2158203125,0.2208622694015503,0.24541795253753662,-1.720703125,-1.533203125
