item_a,item_b,template,score_single_a,score_single_b,score_group_a,score_group_b,score_ppl_a,score_ppl_b
Apple,Microsoft,Which do you prefer: {A} or {B}?,0.0165252685546875,0.0010900497436523438,0.018933653831481934,0.0012052059173583984,-4.1015625,-6.8203125
Apple,Google,Which do you prefer: {A} or {B}?,0.0162506103515625,0.002033233642578125,0.018938302993774414,0.002180755138397217,-4.12109375,-6.19921875
Apple,Amazon,Which do you prefer: {A} or {B}?,0.022064208984375,0.0015974044799804688,0.025220394134521484,0.001722574234008789,-3.814453125,-6.4375
Apple,Tesla,Which do you prefer: {A} or {B}?,0.017669677734375,0.0015439987182617188,0.02042829990386963,0.0016769170761108398,-4.03515625,-6.47265625
Apple,Nvidia,Which do you prefer: {A} or {B}?,0.019744873046875,0.0007715225219726562,0.024167895317077637,0.0009543895721435547,-3.92578125,-7.16796875
Apple,Meta,Which do you prefer: {A} or {B}?,0.0200958251953125,0.00963592529296875,0.022700846195220947,0.009809672832489014,-3.908203125,-4.640625
Microsoft,Apple,Which do you prefer: {A} or {B}?,0.013458251953125,0.0030269622802734375,0.015854239463806152,0.0031780600547790527,-4.30859375,-5.80078125
Microsoft,Google,Which do you prefer: {A} or {B}?,0.012451171875,0.0055694580078125,0.014864504337310791,0.0059795379638671875,-4.38671875,-5.19140625
Microsoft,Amazon,Which do you prefer: {A} or {B}?,0.0175323486328125,0.0048675537109375,0.020153939723968506,0.005023837089538574,-4.04296875,-5.32421875
Microsoft,Tesla,Which do you prefer: {A} or {B}?,0.0197296142578125,0.0024127960205078125,0.022343099117279053,0.00254976749420166,-3.92578125,-6.02734375
Microsoft,Nvidia,Which do you prefer: {A} or {B}?,0.0161895751953125,0.00095367431640625,0.01908177137374878,0.0010666847229003906,-4.125,-6.95703125
Microsoft,Meta,Which do you prefer: {A} or {B}?,0.0262908935546875,0.0071868896484375,0.028367161750793457,0.0073261260986328125,-3.638671875,-4.93359375
Google,Apple,Which do you prefer: {A} or {B}?,0.0235137939453125,0.0030364990234375,0.02628171443939209,0.0031472444534301758,-3.75,-5.796875
Google,Microsoft,Which do you prefer: {A} or {B}?,0.0312347412109375,0.0019207000732421875,0.034694671630859375,0.002031683921813965,-3.466796875,-6.25390625
Google,Amazon,Which do you prefer: {A} or {B}?,0.04052734375,0.0035419464111328125,0.044148802757263184,0.0036514997482299805,-3.205078125,-5.64453125
Google,Tesla,Which do you prefer: {A} or {B}?,0.044281005859375,0.004489898681640625,0.04789465665817261,0.004604756832122803,-3.1171875,-5.40625
