item_a,item_b,template,score_single_a,score_single_b,score_group_a,score_group_b,score_ppl_a,score_ppl_b
AAPL,MSFT,Which do you prefer: {A} or {B}?,0.0,0.0,0.00332564115524292,0.0001550912857055664,-1.9736328125,-2.583984375
AAPL,GOOG,Which do you prefer: {A} or {B}?,0.0,0.0,0.0032108426094055176,0.0001742839813232422,-2.05078125,-3.7421875
AAPL,AMZN,Which do you prefer: {A} or {B}?,0.0,0.0,0.0026996731758117676,0.0001844167709350586,-2.005859375,-3.6015625
AAPL,TSLA,Which do you prefer: {A} or {B}?,0.0,0.0,0.0032134652137756348,0.00019866228103637695,-2.12890625,-2.259765625
AAPL,NVDA,Which do you prefer: {A} or {B}?,0.0,0.0,0.003135085105895996,0.00012618303298950195,-2.00390625,-2.03515625
AAPL,META,Which do you prefer: {A} or {B}?,0.0,0.0007443428039550781,0.0026718974113464355,0.006926298141479492,-2.099609375,-7.203125
MSFT,AAPL,Which do you prefer: {A} or {B}?,0.0,0.0,0.0029830336570739746,0.00022113323211669922,-1.578125,-2.802734375
MSFT,GOOG,Which do you prefer: {A} or {B}?,0.0,0.0,0.0029991865158081055,0.00018745660781860352,-1.669921875,-3.8125
MSFT,AMZN,Which do you prefer: {A} or {B}?,0.0,0.0,0.0024884939193725586,0.0001996755599975586,-1.509765625,-3.6328125
MSFT,TSLA,Which do you prefer: {A} or {B}?,0.0,0.0,0.0028191804885864258,0.00023686885833740234,-1.4990234375,-2.326171875
MSFT,NVDA,Which do you prefer: {A} or {B}?,0.0,0.0,0.002205491065979004,0.0001227259635925293,-1.48828125,-1.6904296875
MSFT,META,Which do you prefer: {A} or {B}?,0.0,0.0008182525634765625,0.002339780330657959,0.0067002177238464355,-1.541015625,-7.109375
GOOG,AAPL,Which do you prefer: {A} or {B}?,0.0,0.0,0.00391232967376709,0.0002123117446899414,-2.3125,-3.3671875
GOOG,MSFT,Which do you prefer: {A} or {B}?,0.0,0.0,0.0038328170776367188,0.00018537044525146484,-2.380859375,-2.638671875
GOOG,AMZN,Which do you prefer: {A} or {B}?,0.0,0.0,0.0036379098892211914,0.0001971721649169922,-2.2109375,-4.06640625
GOOG,TSLA,Which do you prefer: {A} or {B}?,0.0,0.0,0.003582179546356201,0.00022727251052856445,-2.30078125,-2.248046875
GOOG,NVDA,Which do you prefer: {A} or {B}?,0.0,0.0,0.003705620765686035,0.0001456737518310547,-2.3125,-1.9248046875
GOOG,META,Which do you prefer: {A} or {B}?,0.0,0.00045680999755859375,0.003089308738708496,0.006769537925720215,-2.271484375,-7.69140625
AMZN,AAPL,Which do you prefer: {A} or {B}?,0.0,0.0,0.002035796642303467,0.00019341707229614258,-2.05859375,-3.138671875
AMZN,MSFT,Which do you prefer: {A} or {B}?,0.0,0.0,0.00232088565826416,0.0001665949821472168,-2.134765625,-2.490234375
AMZN,GOOG,Which do you prefer: {A} or {B}?,0.0,0.0,0.0022439956665039062,0.00016242265701293945,-2.091796875,-3.51171875
AMZN,TSLA,Which do you prefer: {A} or {B}?,0.0,0.0,0.002265334129333496,0.00021570920944213867,-1.986328125,-2.2890625
AMZN,NVDA,Which do you prefer: {A} or {B}?,0.0,0.0,0.0022802352905273438,0.0001563429832458496,-1.9443359375,-2.16015625
AMZN,META,Which do you prefer: {A} or {B}?,0.0,0.0008587837219238281,0.0019870996475219727,0.008724451065063477,-1.962890625,-7.05859375
TSLA,AAPL,Which do you prefer: {A} or {B}?,0.0,0.0,0.0031262636184692383,0.00024640560150146484,-1.3564453125,-3.248046875
TSLA,MSFT,Which do you prefer: {A} or {B}?,0.0,0.0,0.002799391746520996,0.00023281574249267578,-1.3525390625,-2.634765625
TSLA,GOOG,Which do you prefer: {A} or {B}?,0.0,0.0,0.002637147903442383,0.00020939111709594727,-1.31640625,-3.681640625
TSLA,AMZN,Which do you prefer: {A} or {B}?,0.0,0.0,0.0026046037673950195,0.000261843204498291,-1.36328125,-3.638671875
TSLA,NVDA,Which do you prefer: {A} or {B}?,0.0,0.0,0.0026886463165283203,0.00018447637557983398,-1.22265625,-2.294921875
TSLA,META,Which do you prefer: {A} or {B}?,0.0,0.0014324188232421875,0.002268075942993164,0.011236071586608887,-1.2998046875,-6.546875
NVDA,AAPL,Which do you prefer: {A} or {B}?,0.0,0.0,0.003710627555847168,8.791685104370117e-05,-1.0419921875,-3.095703125
NVDA,MSFT,Which do you prefer: {A} or {B}?,0.0,0.0,0.0024296045303344727,6.872415542602539e-05,-0.8447265625,-2.771484375
NVDA,GOOG,Which do you prefer: {A} or {B}?,0.0,0.0,0.0034866929054260254,9.304285049438477e-05,-0.92333984375,-3.19140625
