Color,BT_Score,iteration
蓝色,0.9061154702630791,0
黄色,0.42929095193623384,0
绿色,-0.4451352576991061,0
紫色,-0.4451354895868139,0
红色,-0.44513567491339284,0
蓝色,0.6432334480842377,1
红色,2.9435167065320926e-08,1
绿色,-5.814842637069511e-08,1
紫色,-6.360689017800389e-08,1
黄色,-0.6432333557640882,1
蓝色,0.4121862586351538,2
红色,3.413104645457258e-08,2
紫色,-1.6634639209055552e-07,2
绿色,-5.735221716557153e-07,2
黄色,-0.41218555289763653,2
蓝色,0.30505602817833866,3
红色,9.221961069132466e-08,3
绿色,1.534403743011847e-08,3
紫色,-6.14538427708026e-08,3
黄色,-0.30505607428814396,3
绿色,0.1646732701432806,4
紫色,0.16467314910949454,4
红色,0.16467304342845343,4
蓝色,0.001788372512455218,4
黄色,-0.49580783519368377,4
绿色,0.2730222188526384,5
红色,0.20442290885675674,5
紫色,0.06841719342203094,5
蓝色,-0.1348809473263641,5
黄色,-0.410981373805062,5
绿色,0.35781378436979594,6
红色,0.29752719912681297,6
紫色,0.17828829286916864,6
蓝色,-0.3554990268690336,6
黄色,-0.4781302494967439,6
绿色,0.30985952128171834,7
红色,0.25777644213807793,7
紫色,0.15450049895996992,7
蓝色,-0.30832012356180716,7
黄色,-0.4138163388179591,7
绿色,0.27351644570894146,8
红色,0.2276197611057159,8
紫色,0.13645003664400837,8
蓝色,-0.2724408774019869,8
黄色,-0.3651453660566788,8
绿色,0.33384701591881927,9
红色,0.29174688013046723,9
紫色,0.20819817603162882,9
蓝色,-0.3310215939802873,9
黄色,-0.502770478100628,9
绿色,0.38563370584101697,10
红色,0.3466398757166962,10
紫色,0.26929160007864694,10
蓝色,-0.4204545675190272,10
黄色,-0.581110614117333,10
绿色,0.38933219487865667,11
红色,0.35351108610867304,11
紫色,0.28241893735255247,11
黄色,-0.4941615720041858,11
蓝色,-0.5311006463356964,11
绿色,0.3930007569445373,12
红色,0.35985811837502424,12
紫色,0.2940511295152675,12
蓝色,-0.48921402059861196,12
黄色,-0.5576959842362171,12
绿色,0.36159901811610456,13
红色,0.33114560829149675,13
紫色,0.2706207500349102,13
蓝色,-0.4503741776986427,13
黄色,-0.5129911987438689,13
绿色,0.33505402835011594,14
红色,0.3068690253132354,14
紫色,0.2508087512561719,14
蓝色,-0.4175010709170399,14
黄色,-0.47523073400248333,14
绿色,0.3708806787130953,15
红色,0.3441097833901084,15
紫色,0.29087176716952057,15
蓝色,-0.4476993336826169,15
黄色,-0.5581628955901075,15
绿色,0.37511955173057554,16
红色,0.349865416167641,16
紫色,0.299630119337336,16
蓝色,-0.42093867589957906,16
黄色,-0.6036764113359735,16
绿色,0.4055268120244178,17
红色,0.3813963910883061,17
紫色,0.3334001819712634,17
蓝色,-0.4974228771262867,17
黄色,-0.6229005079577006,17
绿色,0.4343521034992726,18
红色,0.411219636135013,18
紫色,0.36520841445857505,18
蓝色,-0.5205802683660308,18
黄色,-0.6901998857268299,18
绿色,0.41084901909527277,19
红色,0.4108489252747501,19
紫色,0.36722040258664346,19
蓝色,-0.560121940712446,19
黄色,-0.6287964062442203,19
红色,0.43702464949174796,20
绿色,0.4370246105199335,20
紫色,0.39502316198202275,20
蓝色,-0.5790832304815328,20
黄色,-0.6899891915121715,20
绿色,0.39037519628967393,21
红色,0.39037504783457444,21
紫色,0.3510027261466593,21
蓝色,-0.5453097159070011,21
黄色,-0.5864432543639065,21
红色,0.3717341064271675,22
绿色,0.3717340442740088,22
紫色,0.3343121333865397,22
蓝色,-0.4414185498235955,22
黄色,-0.6363617342641206,22
红色,0.3557428399547391,23
绿色,0.35574283322308575,23
紫色,0.3200492026630808,23
蓝色,-0.34858262758230757,23
黄色,-0.6829522482585981,23
绿色,0.339637233990843,24
红色,0.3396371673760383,24
紫色,0.30555982001072374,24
蓝色,-0.3333663745659808,24
黄色,-0.6514678468116242,24
绿色,0.34083162223831953,25
红色,0.32447013921777085,25
紫色,0.2918564765928384,25
蓝色,-0.3858460839105663,25
黄色,-0.5713121541383626,25
绿色,0.3606648767533748,26
红色,0.34482884519882334,26
紫色,0.28183272550352106,26
蓝色,-0.40388291212890887,26
黄色,-0.5834435353268103,26
绿色,0.37978660534960607,27
红色,0.34911767974705793,27
紫色,0.28817819067433065,27
蓝色,-0.3897140176582553,27
黄色,-0.6273684581127394,27
绿色,0.3985882605372066,28
红色,0.3687626774144803,28
紫色,0.3095030991412693,28
蓝色,-0.4224042462092068,28
黄色,-0.6544497908837493,28
绿色,0.3669876887401393,29
红色,0.33848237428808076,29
紫色,0.28181068673662213,29
蓝色,-0.405496937890035,29
黄色,-0.5817838118748072,29
绿色,0.35378218678011175,30
红色,0.3263159501279814,30
紫色,0.27169018958900315,30
蓝色,-0.3911435702528281,30
黄色,-0.5606447562442683,30
绿色,0.3705655201073668,31
红色,0.33050712477969035,31
紫色,0.2774396973728045,31
蓝色,-0.3791678765776504,31
黄色,-0.5993444656822113,31
绿色,0.38657830841218144,32
红色,0.3345979563625127,32
紫色,0.2829946226035278,32
蓝色,-0.367882437589106,32
黄色,-0.6362884497891159,32
绿色,0.3888355097118365,33
红色,0.3508776298919917,33
紫色,0.2880673905038541,33
蓝色,-0.3699148891648367,33
黄色,-0.6578656409428457,33
绿色,0.37537731012105696,34
红色,0.3387057483121465,34
紫色,0.2659169885121957,34
蓝色,-0.3703929266195555,34
黄色,-0.6096071203258437,34
绿色,0.3637191695894436,35
红色,0.3282005578827489,35
紫色,0.2576723970397916,35
蓝色,-0.3591593867924056,35
黄色,-0.5904327377195784,35
绿色,0.37854352314749007,36
红色,0.34379513305329756,36
紫色,0.2748031591016549,36
蓝色,-0.3851060822287605,36
黄色,-0.612035733073682,36
绿色,0.3926038067322514,37
红色,0.35859186081664157,37
紫色,0.29106700212501635,37
蓝色,-0.4215001361459042,37
黄色,-0.6207625335280053,37
绿色,0.4065736866088753,38
红色,0.3732493384875523,38
紫色,0.307092056462213,38
蓝色,-0.4339894605210513,38
黄色,-0.6529256210375892,38
绿色,0.3959446676219658,39
红色,0.3635580742522612,39
紫色,0.2992382051337195,39
蓝色,-0.3782445263170748,39
黄色,-0.6804964206908717,39
绿色,0.40874231398712596,40
红色,0.37699144221015524,40
紫色,0.3139374893073407,40
蓝色,-0.41232336404590186,40
黄色,-0.6873478814587201,40
绿色,0.39755193831701324,41
红色,0.3666793435191088,41
紫色,0.30535003161354757,41
蓝色,-0.40136051887600566,41
黄色,-0.668220794573664,41
绿色,0.3768873460071395,42
红色,0.35688509385607037,42
紫色,0.29721903987164877,42
蓝色,-0.3705191014684987,42
黄色,-0.66047237826636,42
绿色,0.36717984544039584,43
红色,0.3476974189579978,43
紫色,0.28956789737625377,43
蓝色,-0.361264925622715,43
黄色,-0.6431802361519323,43
绿色,0.36833999604702505,44
红色,0.3492833488502461,44
紫色,0.29241990192854056,44
蓝色,-0.3819359872789878,44
黄色,-0.6281072595468239,44
绿色,0.3801354058516792,45
红色,0.3614124189121599,45
紫色,0.30554695419794536,45
蓝色,-0.4120516523581301,45
黄色,-0.6350431266036543,45
绿色,0.3915876905313813,46
红色,0.37318408391683583,46
紫色,0.31827282898892256,46
蓝色,-0.4412386707085887,46
黄色,-0.6418059327285511,46
绿色,0.4028769239883592,47
红色,0.3847767973986142,47
紫色,0.33077262679211633,47
蓝色,-0.4603386927210344,47
黄色,-0.6580876554580555,47
绿色,0.41329653096518504,48
红色,0.3866276482232454,48
紫色,0.34242069705008166,48
蓝色,-0.4785045305500456,48
黄色,-0.6638403456884665,48
绿色,0.4239454045718961,49
红色,0.3976968977159722,49
紫色,0.354187349213778,49
蓝色,-0.49648288010176866,49
黄色,-0.6793467713998776,49
