player_1,player_2,winner,template
红色,蓝色,蓝色,选项 A: {A}. 选项 B: {B}. 选择:
红色,绿色,绿色,选项 A: {A}. 选项 B: {B}. 选择:
红色,黄色,红色,选项 A: {A}. 选项 B: {B}. 选择:
红色,紫色,紫色,选项 A: {A}. 选项 B: {B}. 选择:
蓝色,红色,蓝色,选项 A: {A}. 选项 B: {B}. 选择:
蓝色,绿色,蓝色,选项 A: {A}. 选项 B: {B}. 选择:
蓝色,黄色,黄色,选项 A: {A}. 选项 B: {B}. 选择:
蓝色,紫色,蓝色,选项 A: {A}. 选项 B: {B}. 选择:
绿色,红色,红色,选项 A: {A}. 选项 B: {B}. 选择:
绿色,蓝色,蓝色,选项 A: {A}. 选项 B: {B}. 选择:
绿色,黄色,绿色,选项 A: {A}. 选项 B: {B}. 选择:
绿色,紫色,紫色,选项 A: {A}. 选项 B: {B}. 选择:
黄色,红色,黄色,选项 A: {A}. 选项 B: {B}. 选择:
黄色,蓝色,黄色,选项 A: {A}. 选项 B: {B}. 选择:
黄色,绿色,黄色,选项 A: {A}. 选项 B: {B}. 选择:
黄色,紫色,黄色,选项 A: {A}. 选项 B: {B}. 选择:
紫色,红色,红色,选项 A: {A}. 选项 B: {B}. 选择:
紫色,蓝色,蓝色,选项 A: {A}. 选项 B: {B}. 选择:
紫色,绿色,绿色,选项 A: {A}. 选项 B: {B}. 选择:
紫色,黄色,紫色,选项 A: {A}. 选项 B: {B}. 选择:
红色,蓝色,红色,选择: {A} 还是 {B}? 回答:
红色,绿色,绿色,选择: {A} 还是 {B}? 回答:
红色,黄色,红色,选择: {A} 还是 {B}? 回答:
红色,紫色,紫色,选择: {A} 还是 {B}? 回答:
蓝色,红色,蓝色,选择: {A} 还是 {B}? 回答:
蓝色,绿色,蓝色,选择: {A} 还是 {B}? 回答:
蓝色,黄色,蓝色,选择: {A} 还是 {B}? 回答:
蓝色,紫色,蓝色,选择: {A} 还是 {B}? 回答:
绿色,红色,红色,选择: {A} 还是 {B}? 回答:
绿色,蓝色,绿色,选择: {A} 还是 {B}? 回答:
绿色,黄色,绿色,选择: {A} 还是 {B}? 回答:
绿色,紫色,紫色,选择: {A} 还是 {B}? 回答:
黄色,红色,红色,选择: {A} 还是 {B}? 回答:
黄色,蓝色,蓝色,选择: {A} 还是 {B}? 回答:
黄色,绿色,绿色,选择: {A} 还是 {B}? 回答:
黄色,紫色,紫色,选择: {A} 还是 {B}? 回答:
紫色,红色,红色,选择: {A} 还是 {B}? 回答:
紫色,蓝色,紫色,选择: {A} 还是 {B}? 回答:
紫色,绿色,绿色,选择: {A} 还是 {B}? 回答:
紫色,黄色,紫色,选择: {A} 还是 {B}? 回答:
红色,蓝色,红色,"选择一个: {A}, {B}. 结果:"
红色,绿色,绿色,"选择一个: {A}, {B}. 结果:"
红色,黄色,红色,"选择一个: {A}, {B}. 结果:"
红色,紫色,紫色,"选择一个: {A}, {B}. 结果:"
蓝色,红色,蓝色,"选择一个: {A}, {B}. 结果:"
蓝色,绿色,蓝色,"选择一个: {A}, {B}. 结果:"
蓝色,黄色,蓝色,"选择一个: {A}, {B}. 结果:"
蓝色,紫色,蓝色,"选择一个: {A}, {B}. 结果:"
绿色,红色,红色,"选择一个: {A}, {B}. 结果:"
绿色,蓝色,绿色,"选择一个: {A}, {B}. 结果:"
绿色,黄色,绿色,"选择一个: {A}, {B}. 结果:"
绿色,紫色,紫色,"选择一个: {A}, {B}. 结果:"
黄色,红色,黄色,"选择一个: {A}, {B}. 结果:"
黄色,蓝色,黄色,"选择一个: {A}, {B}. 结果:"
黄色,绿色,黄色,"选择一个: {A}, {B}. 结果:"
